,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
63057,MA,70900,"Barnstable Town, MA",00-0000,All Occupations,total,"48,100"
63058,MA,70900,"Barnstable Town, MA",11-0000,Management Occupations,major,"93,580"
63059,MA,70900,"Barnstable Town, MA",11-1011,Chief Executives,detailed,"168,220"
63060,MA,70900,"Barnstable Town, MA",11-1021,General and Operations Managers,detailed,"89,140"
63061,MA,70900,"Barnstable Town, MA",11-1031,Legislators,detailed,*
63062,MA,70900,"Barnstable Town, MA",11-2021,Marketing Managers,detailed,"92,320"
63063,MA,70900,"Barnstable Town, MA",11-2022,Sales Managers,detailed,"109,200"
63064,MA,70900,"Barnstable Town, MA",11-2031,Public Relations and Fundraising Managers,detailed,"118,660"
63065,MA,70900,"Barnstable Town, MA",11-3011,Administrative Services Managers,detailed,"89,970"
63066,MA,70900,"Barnstable Town, MA",11-3021,Computer and Information Systems Managers,detailed,"112,610"
63067,MA,70900,"Barnstable Town, MA",11-3031,Financial Managers,detailed,"94,580"
63068,MA,70900,"Barnstable Town, MA",11-3051,Industrial Production Managers,detailed,"90,920"
63069,MA,70900,"Barnstable Town, MA",11-3061,Purchasing Managers,detailed,"94,160"
63070,MA,70900,"Barnstable Town, MA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"88,980"
63071,MA,70900,"Barnstable Town, MA",11-3121,Human Resources Managers,detailed,"77,460"
63072,MA,70900,"Barnstable Town, MA",11-9021,Construction Managers,detailed,"85,520"
63073,MA,70900,"Barnstable Town, MA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"66,670"
63074,MA,70900,"Barnstable Town, MA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"98,840"
63075,MA,70900,"Barnstable Town, MA",11-9041,Architectural and Engineering Managers,detailed,"125,830"
63076,MA,70900,"Barnstable Town, MA",11-9051,Food Service Managers,detailed,"56,370"
63077,MA,70900,"Barnstable Town, MA",11-9081,Lodging Managers,detailed,"67,330"
63078,MA,70900,"Barnstable Town, MA",11-9111,Medical and Health Services Managers,detailed,"108,890"
63079,MA,70900,"Barnstable Town, MA",11-9131,Postmasters and Mail Superintendents,detailed,"73,200"
63080,MA,70900,"Barnstable Town, MA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"64,190"
63081,MA,70900,"Barnstable Town, MA",11-9151,Social and Community Service Managers,detailed,"67,430"
63082,MA,70900,"Barnstable Town, MA",11-9199,"Managers, All Other",detailed,"121,080"
63083,MA,70900,"Barnstable Town, MA",13-0000,Business and Financial Operations Occupations,major,"74,470"
63084,MA,70900,"Barnstable Town, MA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"52,490"
63085,MA,70900,"Barnstable Town, MA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"62,540"
63086,MA,70900,"Barnstable Town, MA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"71,170"
63087,MA,70900,"Barnstable Town, MA",13-1041,Compliance Officers,detailed,"64,310"
63088,MA,70900,"Barnstable Town, MA",13-1051,Cost Estimators,detailed,"67,280"
63089,MA,70900,"Barnstable Town, MA",13-1071,Human Resources Specialists,detailed,"62,870"
63090,MA,70900,"Barnstable Town, MA",13-1075,Labor Relations Specialists,detailed,*
63091,MA,70900,"Barnstable Town, MA",13-1111,Management Analysts,detailed,"107,580"
63092,MA,70900,"Barnstable Town, MA",13-1121,"Meeting, Convention, and Event Planners",detailed,"61,310"
63093,MA,70900,"Barnstable Town, MA",13-1131,Fundraisers,detailed,"69,070"
63094,MA,70900,"Barnstable Town, MA",13-1151,Training and Development Specialists,detailed,"53,750"
63095,MA,70900,"Barnstable Town, MA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"65,870"
63096,MA,70900,"Barnstable Town, MA",13-1199,"Business Operations Specialists, All Other",detailed,"73,210"
63097,MA,70900,"Barnstable Town, MA",13-2011,Accountants and Auditors,detailed,"75,530"
63098,MA,70900,"Barnstable Town, MA",13-2021,Appraisers and Assessors of Real Estate,detailed,*
63099,MA,70900,"Barnstable Town, MA",13-2051,Financial Analysts,detailed,"81,050"
63100,MA,70900,"Barnstable Town, MA",13-2052,Personal Financial Advisors,detailed,"134,530"
63101,MA,70900,"Barnstable Town, MA",13-2072,Loan Officers,detailed,"75,800"
