,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
77131,MN,20260,"Duluth, MN-WI",00-0000,All Occupations,total,"42,160"
77132,MN,20260,"Duluth, MN-WI",11-0000,Management Occupations,major,"89,100"
77133,MN,20260,"Duluth, MN-WI",11-1011,Chief Executives,detailed,"122,340"
77134,MN,20260,"Duluth, MN-WI",11-1021,General and Operations Managers,detailed,"87,990"
77135,MN,20260,"Duluth, MN-WI",11-1031,Legislators,detailed,"26,090"
77136,MN,20260,"Duluth, MN-WI",11-2021,Marketing Managers,detailed,"102,100"
77137,MN,20260,"Duluth, MN-WI",11-2022,Sales Managers,detailed,"94,910"
77138,MN,20260,"Duluth, MN-WI",11-2031,Public Relations and Fundraising Managers,detailed,"89,900"
77139,MN,20260,"Duluth, MN-WI",11-3011,Administrative Services Managers,detailed,"93,930"
77140,MN,20260,"Duluth, MN-WI",11-3021,Computer and Information Systems Managers,detailed,"108,380"
77141,MN,20260,"Duluth, MN-WI",11-3031,Financial Managers,detailed,"103,240"
77142,MN,20260,"Duluth, MN-WI",11-3051,Industrial Production Managers,detailed,"95,840"
77143,MN,20260,"Duluth, MN-WI",11-3061,Purchasing Managers,detailed,"103,400"
77144,MN,20260,"Duluth, MN-WI",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"86,840"
77145,MN,20260,"Duluth, MN-WI",11-3121,Human Resources Managers,detailed,"107,960"
77146,MN,20260,"Duluth, MN-WI",11-9021,Construction Managers,detailed,"93,360"
77147,MN,20260,"Duluth, MN-WI",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"56,400"
77148,MN,20260,"Duluth, MN-WI",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"89,930"
77149,MN,20260,"Duluth, MN-WI",11-9039,"Education Administrators, All Other",detailed,"72,220"
77150,MN,20260,"Duluth, MN-WI",11-9041,Architectural and Engineering Managers,detailed,"117,450"
77151,MN,20260,"Duluth, MN-WI",11-9051,Food Service Managers,detailed,"47,800"
77152,MN,20260,"Duluth, MN-WI",11-9081,Lodging Managers,detailed,"49,010"
77153,MN,20260,"Duluth, MN-WI",11-9111,Medical and Health Services Managers,detailed,"84,040"
77154,MN,20260,"Duluth, MN-WI",11-9121,Natural Sciences Managers,detailed,"95,620"
77155,MN,20260,"Duluth, MN-WI",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"63,600"
77156,MN,20260,"Duluth, MN-WI",11-9151,Social and Community Service Managers,detailed,"67,470"
77157,MN,20260,"Duluth, MN-WI",11-9199,"Managers, All Other",detailed,"87,880"
77158,MN,20260,"Duluth, MN-WI",13-0000,Business and Financial Operations Occupations,major,"59,390"
77159,MN,20260,"Duluth, MN-WI",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"37,510"
77160,MN,20260,"Duluth, MN-WI",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,480"
77161,MN,20260,"Duluth, MN-WI",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"44,750"
77162,MN,20260,"Duluth, MN-WI",13-1041,Compliance Officers,detailed,"64,560"
77163,MN,20260,"Duluth, MN-WI",13-1051,Cost Estimators,detailed,"58,660"
77164,MN,20260,"Duluth, MN-WI",13-1071,Human Resources Specialists,detailed,"53,000"
77165,MN,20260,"Duluth, MN-WI",13-1075,Labor Relations Specialists,detailed,"61,490"
77166,MN,20260,"Duluth, MN-WI",13-1081,Logisticians,detailed,"79,790"
77167,MN,20260,"Duluth, MN-WI",13-1111,Management Analysts,detailed,"62,630"
77168,MN,20260,"Duluth, MN-WI",13-1121,"Meeting, Convention, and Event Planners",detailed,"43,690"
77169,MN,20260,"Duluth, MN-WI",13-1131,Fundraisers,detailed,"51,220"
77170,MN,20260,"Duluth, MN-WI",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"58,860"
77171,MN,20260,"Duluth, MN-WI",13-1151,Training and Development Specialists,detailed,"52,980"
77172,MN,20260,"Duluth, MN-WI",13-1161,Market Research Analysts and Marketing Specialists,detailed,"53,490"
77173,MN,20260,"Duluth, MN-WI",13-1199,"Business Operations Specialists, All Other",detailed,"54,770"
77174,MN,20260,"Duluth, MN-WI",13-2011,Accountants and Auditors,detailed,"70,160"
77175,MN,20260,"Duluth, MN-WI",13-2021,Appraisers and Assessors of Real Estate,detailed,"60,690"
77176,MN,20260,"Duluth, MN-WI",13-2031,Budget Analysts,detailed,"54,580"
77177,MN,20260,"Duluth, MN-WI",13-2051,Financial Analysts,detailed,"73,980"
77178,MN,20260,"Duluth, MN-WI",13-2052,Personal Financial Advisors,detailed,"94,860"
77179,MN,20260,"Duluth, MN-WI",13-2072,Loan Officers,detailed,"61,630"
77180,MN,20260,"Duluth, MN-WI",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"54,930"
77181,MN,20260,"Duluth, MN-WI",13-2099,"Financial Specialists, All Other",detailed,"64,540"
77182,MN,20260,"Duluth, MN-WI",15-0000,Computer and Mathematical Occupations,major,"67,290"
77183,MN,20260,"Duluth, MN-WI",15-1121,Computer Systems Analysts,detailed,"76,450"
77184,MN,20260,"Duluth, MN-WI",15-1131,Computer Programmers,detailed,"75,730"
77185,MN,20260,"Duluth, MN-WI",15-1132,"Software Developers, Applications",detailed,"78,910"
77186,MN,20260,"Duluth, MN-WI",15-1133,"Software Developers, Systems Software",detailed,"101,920"
77187,MN,20260,"Duluth, MN-WI",15-1134,Web Developers,detailed,"62,190"
77188,MN,20260,"Duluth, MN-WI",15-1141,Database Administrators,detailed,"76,240"
77189,MN,20260,"Duluth, MN-WI",15-1142,Network and Computer Systems Administrators,detailed,"66,380"
77190,MN,20260,"Duluth, MN-WI",15-1143,Computer Network Architects,detailed,"89,880"
77191,MN,20260,"Duluth, MN-WI",15-1151,Computer User Support Specialists,detailed,"42,860"
77192,MN,20260,"Duluth, MN-WI",15-1152,Computer Network Support Specialists,detailed,"54,200"
77193,MN,20260,"Duluth, MN-WI",15-1199,"Computer Occupations, All Other",detailed,"62,760"
77194,MN,20260,"Duluth, MN-WI",17-0000,Architecture and Engineering Occupations,major,"71,040"
77195,MN,20260,"Duluth, MN-WI",17-1011,"Architects, Except Landscape and Naval",detailed,"77,350"
77196,MN,20260,"Duluth, MN-WI",17-1022,Surveyors,detailed,"56,820"
77197,MN,20260,"Duluth, MN-WI",17-2051,Civil Engineers,detailed,"79,210"
77198,MN,20260,"Duluth, MN-WI",17-2071,Electrical Engineers,detailed,"85,610"
77199,MN,20260,"Duluth, MN-WI",17-2072,"Electronics Engineers, Except Computer",detailed,"103,060"
77200,MN,20260,"Duluth, MN-WI",17-2081,Environmental Engineers,detailed,"69,640"
77201,MN,20260,"Duluth, MN-WI",17-2112,Industrial Engineers,detailed,"79,890"
77202,MN,20260,"Duluth, MN-WI",17-2141,Mechanical Engineers,detailed,"75,190"
77203,MN,20260,"Duluth, MN-WI",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"91,520"
77204,MN,20260,"Duluth, MN-WI",17-3011,Architectural and Civil Drafters,detailed,"42,200"
77205,MN,20260,"Duluth, MN-WI",17-3013,Mechanical Drafters,detailed,"53,620"
77206,MN,20260,"Duluth, MN-WI",17-3022,Civil Engineering Technicians,detailed,"54,140"
77207,MN,20260,"Duluth, MN-WI",17-3023,Electrical and Electronics Engineering Technicians,detailed,"65,330"
77208,MN,20260,"Duluth, MN-WI",17-3025,Environmental Engineering Technicians,detailed,"43,060"
77209,MN,20260,"Duluth, MN-WI",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"61,590"
77210,MN,20260,"Duluth, MN-WI",19-0000,"Life, Physical, and Social Science Occupations",major,"59,460"
77211,MN,20260,"Duluth, MN-WI",19-1013,Soil and Plant Scientists,detailed,"64,930"
77212,MN,20260,"Duluth, MN-WI",19-1023,Zoologists and Wildlife Biologists,detailed,"56,490"
77213,MN,20260,"Duluth, MN-WI",19-1029,"Biological Scientists, All Other",detailed,"69,160"
77214,MN,20260,"Duluth, MN-WI",19-1031,Conservation Scientists,detailed,"67,560"
77215,MN,20260,"Duluth, MN-WI",19-1032,Foresters,detailed,"56,170"
77216,MN,20260,"Duluth, MN-WI",19-1042,"Medical Scientists, Except Epidemiologists",detailed,"66,030"
77217,MN,20260,"Duluth, MN-WI",19-2031,Chemists,detailed,"67,610"
77218,MN,20260,"Duluth, MN-WI",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"59,960"
77219,MN,20260,"Duluth, MN-WI",19-3031,"Clinical, Counseling, and School Psychologists",detailed,"77,420"
77220,MN,20260,"Duluth, MN-WI",19-3051,Urban and Regional Planners,detailed,"65,490"
77221,MN,20260,"Duluth, MN-WI",19-3099,"Social Scientists and Related Workers, All Other",detailed,"70,130"
77222,MN,20260,"Duluth, MN-WI",19-4021,Biological Technicians,detailed,"41,670"
77223,MN,20260,"Duluth, MN-WI",19-4031,Chemical Technicians,detailed,"49,290"
77224,MN,20260,"Duluth, MN-WI",19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,"40,180"
77225,MN,20260,"Duluth, MN-WI",19-4093,Forest and Conservation Technicians,detailed,"39,710"
77226,MN,20260,"Duluth, MN-WI",19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"38,600"
77227,MN,20260,"Duluth, MN-WI",21-0000,Community and Social Service Occupations,major,"40,820"
77228,MN,20260,"Duluth, MN-WI",21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,"41,620"
77229,MN,20260,"Duluth, MN-WI",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"45,320"
77230,MN,20260,"Duluth, MN-WI",21-1013,Marriage and Family Therapists,detailed,"39,520"
77231,MN,20260,"Duluth, MN-WI",21-1014,Mental Health Counselors,detailed,"40,270"
77232,MN,20260,"Duluth, MN-WI",21-1015,Rehabilitation Counselors,detailed,"30,720"
77233,MN,20260,"Duluth, MN-WI",21-1019,"Counselors, All Other",detailed,"44,560"
77234,MN,20260,"Duluth, MN-WI",21-1021,"Child, Family, and School Social Workers",detailed,"58,150"
77235,MN,20260,"Duluth, MN-WI",21-1022,Healthcare Social Workers,detailed,"53,390"
77236,MN,20260,"Duluth, MN-WI",21-1023,Mental Health and Substance Abuse Social Workers,detailed,"45,520"
77237,MN,20260,"Duluth, MN-WI",21-1091,Health Educators,detailed,"48,020"
77238,MN,20260,"Duluth, MN-WI",21-1093,Social and Human Service Assistants,detailed,"32,150"
77239,MN,20260,"Duluth, MN-WI",21-1094,Community Health Workers,detailed,"39,630"
77240,MN,20260,"Duluth, MN-WI",21-1099,"Community and Social Service Specialists, All Other",detailed,"41,160"
77241,MN,20260,"Duluth, MN-WI",21-2011,Clergy,detailed,"42,870"
77242,MN,20260,"Duluth, MN-WI",23-0000,Legal Occupations,major,"78,830"
77243,MN,20260,"Duluth, MN-WI",23-1011,Lawyers,detailed,"96,050"
77244,MN,20260,"Duluth, MN-WI",23-2011,Paralegals and Legal Assistants,detailed,"43,800"
77245,MN,20260,"Duluth, MN-WI",25-0000,"Education, Training, and Library Occupations",major,"51,040"
77246,MN,20260,"Duluth, MN-WI",25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"67,130"
77247,MN,20260,"Duluth, MN-WI",25-1042,"Biological Science Teachers, Postsecondary",detailed,"78,870"
77248,MN,20260,"Duluth, MN-WI",25-1066,"Psychology Teachers, Postsecondary",detailed,"61,660"
77249,MN,20260,"Duluth, MN-WI",25-1067,"Sociology Teachers, Postsecondary",detailed,"66,700"
77250,MN,20260,"Duluth, MN-WI",25-1071,"Health Specialties Teachers, Postsecondary",detailed,"57,490"
77251,MN,20260,"Duluth, MN-WI",25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,"67,550"
77252,MN,20260,"Duluth, MN-WI",25-1194,"Vocational Education Teachers, Postsecondary",detailed,"55,130"
77253,MN,20260,"Duluth, MN-WI",25-1199,"Postsecondary Teachers, All Other",detailed,*
77254,MN,20260,"Duluth, MN-WI",25-2011,"Preschool Teachers, Except Special Education",detailed,"37,210"
77255,MN,20260,"Duluth, MN-WI",25-2012,"Kindergarten Teachers, Except Special Education",detailed,"59,720"
77256,MN,20260,"Duluth, MN-WI",25-2021,"Elementary School Teachers, Except Special Education",detailed,"58,800"
77257,MN,20260,"Duluth, MN-WI",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"49,030"
77258,MN,20260,"Duluth, MN-WI",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"59,650"
77259,MN,20260,"Duluth, MN-WI",25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"66,180"
77260,MN,20260,"Duluth, MN-WI",25-2054,"Special Education Teachers, Secondary School",detailed,"55,630"
77261,MN,20260,"Duluth, MN-WI",25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"65,390"
77262,MN,20260,"Duluth, MN-WI",25-3021,Self-Enrichment Education Teachers,detailed,"32,400"
77263,MN,20260,"Duluth, MN-WI",25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"52,320"
77264,MN,20260,"Duluth, MN-WI",25-3098,Substitute Teachers,detailed,"33,220"
77265,MN,20260,"Duluth, MN-WI",25-4021,Librarians,detailed,"47,140"
77266,MN,20260,"Duluth, MN-WI",25-4031,Library Technicians,detailed,"38,180"
77267,MN,20260,"Duluth, MN-WI",25-9031,Instructional Coordinators,detailed,"55,180"
77268,MN,20260,"Duluth, MN-WI",25-9041,Teacher Assistants,detailed,"28,430"
77269,MN,20260,"Duluth, MN-WI",25-9099,"Education, Training, and Library Workers, All Other",detailed,"40,860"
77270,MN,20260,"Duluth, MN-WI",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"38,120"
77271,MN,20260,"Duluth, MN-WI",27-1023,Floral Designers,detailed,"21,600"
77272,MN,20260,"Duluth, MN-WI",27-1024,Graphic Designers,detailed,"42,100"
77273,MN,20260,"Duluth, MN-WI",27-2012,Producers and Directors,detailed,"37,740"
77274,MN,20260,"Duluth, MN-WI",27-2022,Coaches and Scouts,detailed,"34,940"
77275,MN,20260,"Duluth, MN-WI",27-2023,"Umpires, Referees, and Other Sports Officials",detailed,"31,980"
77276,MN,20260,"Duluth, MN-WI",27-3011,Radio and Television Announcers,detailed,"27,540"
77277,MN,20260,"Duluth, MN-WI",27-3022,Reporters and Correspondents,detailed,"41,520"
77278,MN,20260,"Duluth, MN-WI",27-3031,Public Relations Specialists,detailed,"55,120"
77279,MN,20260,"Duluth, MN-WI",27-3041,Editors,detailed,"46,500"
77280,MN,20260,"Duluth, MN-WI",27-3099,"Media and Communication Workers, All Other",detailed,"33,240"
77281,MN,20260,"Duluth, MN-WI",27-4011,Audio and Video Equipment Technicians,detailed,"25,680"
77282,MN,20260,"Duluth, MN-WI",27-4012,Broadcast Technicians,detailed,"38,650"
77283,MN,20260,"Duluth, MN-WI",29-0000,Healthcare Practitioners and Technical Occupations,major,"71,070"
77284,MN,20260,"Duluth, MN-WI",29-1011,Chiropractors,detailed,"64,550"
77285,MN,20260,"Duluth, MN-WI",29-1021,"Dentists, General",detailed,"190,870"
77286,MN,20260,"Duluth, MN-WI",29-1031,Dietitians and Nutritionists,detailed,"57,060"
77287,MN,20260,"Duluth, MN-WI",29-1041,Optometrists,detailed,"121,380"
77288,MN,20260,"Duluth, MN-WI",29-1051,Pharmacists,detailed,"120,280"
77289,MN,20260,"Duluth, MN-WI",29-1062,Family and General Practitioners,detailed,"220,930"
77290,MN,20260,"Duluth, MN-WI",29-1069,"Physicians and Surgeons, All Other",detailed,"268,480"
77291,MN,20260,"Duluth, MN-WI",29-1071,Physician Assistants,detailed,"111,220"
77292,MN,20260,"Duluth, MN-WI",29-1122,Occupational Therapists,detailed,"64,760"
77293,MN,20260,"Duluth, MN-WI",29-1123,Physical Therapists,detailed,"75,500"
77294,MN,20260,"Duluth, MN-WI",29-1127,Speech-Language Pathologists,detailed,"64,060"
77295,MN,20260,"Duluth, MN-WI",29-1128,Exercise Physiologists,detailed,"55,980"
77296,MN,20260,"Duluth, MN-WI",29-1131,Veterinarians,detailed,"70,260"
77297,MN,20260,"Duluth, MN-WI",29-1141,Registered Nurses,detailed,"62,420"
77298,MN,20260,"Duluth, MN-WI",29-1151,Nurse Anesthetists,detailed,"215,130"
77299,MN,20260,"Duluth, MN-WI",29-1171,Nurse Practitioners,detailed,"97,740"
77300,MN,20260,"Duluth, MN-WI",29-2011,Medical and Clinical Laboratory Technologists,detailed,"62,640"
77301,MN,20260,"Duluth, MN-WI",29-2012,Medical and Clinical Laboratory Technicians,detailed,"50,370"
77302,MN,20260,"Duluth, MN-WI",29-2021,Dental Hygienists,detailed,"60,780"
77303,MN,20260,"Duluth, MN-WI",29-2031,Cardiovascular Technologists and Technicians,detailed,"64,980"
77304,MN,20260,"Duluth, MN-WI",29-2032,Diagnostic Medical Sonographers,detailed,"73,930"
77305,MN,20260,"Duluth, MN-WI",29-2034,Radiologic Technologists,detailed,"61,680"
77306,MN,20260,"Duluth, MN-WI",29-2041,Emergency Medical Technicians and Paramedics,detailed,"32,590"
77307,MN,20260,"Duluth, MN-WI",29-2052,Pharmacy Technicians,detailed,"31,890"
77308,MN,20260,"Duluth, MN-WI",29-2055,Surgical Technologists,detailed,"50,850"
77309,MN,20260,"Duluth, MN-WI",29-2056,Veterinary Technologists and Technicians,detailed,"31,090"
77310,MN,20260,"Duluth, MN-WI",29-2057,Ophthalmic Medical Technicians,detailed,"45,080"
77311,MN,20260,"Duluth, MN-WI",29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,"40,660"
77312,MN,20260,"Duluth, MN-WI",29-2071,Medical Records and Health Information Technicians,detailed,"43,670"
77313,MN,20260,"Duluth, MN-WI",29-2081,"Opticians, Dispensing",detailed,"31,140"
77314,MN,20260,"Duluth, MN-WI",29-2099,"Health Technologists and Technicians, All Other",detailed,"55,510"
77315,MN,20260,"Duluth, MN-WI",29-9011,Occupational Health and Safety Specialists,detailed,"72,380"
77316,MN,20260,"Duluth, MN-WI",29-9091,Athletic Trainers,detailed,"46,130"
77317,MN,20260,"Duluth, MN-WI",31-0000,Healthcare Support Occupations,major,"28,990"
77318,MN,20260,"Duluth, MN-WI",31-1011,Home Health Aides,detailed,"25,130"
77319,MN,20260,"Duluth, MN-WI",31-1014,Nursing Assistants,detailed,"28,280"
77320,MN,20260,"Duluth, MN-WI",31-1015,Orderlies,detailed,"32,860"
77321,MN,20260,"Duluth, MN-WI",31-2011,Occupational Therapy Assistants,detailed,"41,410"
77322,MN,20260,"Duluth, MN-WI",31-2021,Physical Therapist Assistants,detailed,"46,780"
77323,MN,20260,"Duluth, MN-WI",31-2022,Physical Therapist Aides,detailed,"32,610"
77324,MN,20260,"Duluth, MN-WI",31-9011,Massage Therapists,detailed,"34,480"
77325,MN,20260,"Duluth, MN-WI",31-9091,Dental Assistants,detailed,"37,150"
77326,MN,20260,"Duluth, MN-WI",31-9092,Medical Assistants,detailed,"34,350"
77327,MN,20260,"Duluth, MN-WI",31-9093,Medical Equipment Preparers,detailed,"39,360"
77328,MN,20260,"Duluth, MN-WI",31-9094,Medical Transcriptionists,detailed,"38,520"
77329,MN,20260,"Duluth, MN-WI",31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,"28,360"
77330,MN,20260,"Duluth, MN-WI",31-9097,Phlebotomists,detailed,"33,820"
77331,MN,20260,"Duluth, MN-WI",31-9099,"Healthcare Support Workers, All Other",detailed,"28,070"
77332,MN,20260,"Duluth, MN-WI",33-0000,Protective Service Occupations,major,"41,430"
77333,MN,20260,"Duluth, MN-WI",33-1011,First-Line Supervisors of Correctional Officers,detailed,"67,520"
77334,MN,20260,"Duluth, MN-WI",33-1012,First-Line Supervisors of Police and Detectives,detailed,"65,630"
77335,MN,20260,"Duluth, MN-WI",33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"57,470"
77336,MN,20260,"Duluth, MN-WI",33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detailed,"41,070"
77337,MN,20260,"Duluth, MN-WI",33-2011,Firefighters,detailed,"33,170"
77338,MN,20260,"Duluth, MN-WI",33-3012,Correctional Officers and Jailers,detailed,"47,490"
77339,MN,20260,"Duluth, MN-WI",33-3021,Detectives and Criminal Investigators,detailed,"70,280"
77340,MN,20260,"Duluth, MN-WI",33-3051,Police and Sheriff's Patrol Officers,detailed,"53,460"
77341,MN,20260,"Duluth, MN-WI",33-9032,Security Guards,detailed,"27,290"
77342,MN,20260,"Duluth, MN-WI",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"20,530"
77343,MN,20260,"Duluth, MN-WI",33-9099,"Protective Service Workers, All Other",detailed,"31,040"
77344,MN,20260,"Duluth, MN-WI",35-0000,Food Preparation and Serving Related Occupations,major,"20,980"
77345,MN,20260,"Duluth, MN-WI",35-1011,Chefs and Head Cooks,detailed,"41,700"
77346,MN,20260,"Duluth, MN-WI",35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,"30,860"
77347,MN,20260,"Duluth, MN-WI",35-2012,"Cooks, Institution and Cafeteria",detailed,"26,860"
77348,MN,20260,"Duluth, MN-WI",35-2014,"Cooks, Restaurant",detailed,"22,530"
77349,MN,20260,"Duluth, MN-WI",35-2015,"Cooks, Short Order",detailed,"22,040"
77350,MN,20260,"Duluth, MN-WI",35-2021,Food Preparation Workers,detailed,"22,380"
77351,MN,20260,"Duluth, MN-WI",35-3011,Bartenders,detailed,"18,760"
77352,MN,20260,"Duluth, MN-WI",35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"18,970"
