,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
79231,MO,16020,"Cape Girardeau, MO-IL",00-0000,All Occupations,total,"38,180"
79232,MO,16020,"Cape Girardeau, MO-IL",11-0000,Management Occupations,major,"89,870"
79233,MO,16020,"Cape Girardeau, MO-IL",11-1011,Chief Executives,detailed,"143,970"
79234,MO,16020,"Cape Girardeau, MO-IL",11-1021,General and Operations Managers,detailed,"83,610"
79235,MO,16020,"Cape Girardeau, MO-IL",11-2022,Sales Managers,detailed,*
79236,MO,16020,"Cape Girardeau, MO-IL",11-3011,Administrative Services Managers,detailed,"65,820"
79237,MO,16020,"Cape Girardeau, MO-IL",11-3021,Computer and Information Systems Managers,detailed,"90,200"
79238,MO,16020,"Cape Girardeau, MO-IL",11-3031,Financial Managers,detailed,"91,550"
79239,MO,16020,"Cape Girardeau, MO-IL",11-3051,Industrial Production Managers,detailed,"89,760"
79240,MO,16020,"Cape Girardeau, MO-IL",11-9021,Construction Managers,detailed,"73,710"
79241,MO,16020,"Cape Girardeau, MO-IL",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"84,370"
79242,MO,16020,"Cape Girardeau, MO-IL",11-9033,"Education Administrators, Postsecondary",detailed,"103,900"
79243,MO,16020,"Cape Girardeau, MO-IL",11-9051,Food Service Managers,detailed,"53,010"
79244,MO,16020,"Cape Girardeau, MO-IL",11-9111,Medical and Health Services Managers,detailed,"123,470"
79245,MO,16020,"Cape Girardeau, MO-IL",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"28,510"
79246,MO,16020,"Cape Girardeau, MO-IL",11-9151,Social and Community Service Managers,detailed,"53,340"
79247,MO,16020,"Cape Girardeau, MO-IL",11-9199,"Managers, All Other",detailed,"72,040"
79248,MO,16020,"Cape Girardeau, MO-IL",13-0000,Business and Financial Operations Occupations,major,"55,520"
79249,MO,16020,"Cape Girardeau, MO-IL",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"42,580"
79250,MO,16020,"Cape Girardeau, MO-IL",13-1071,Human Resources Specialists,detailed,"49,430"
79251,MO,16020,"Cape Girardeau, MO-IL",13-1111,Management Analysts,detailed,"94,950"
79252,MO,16020,"Cape Girardeau, MO-IL",13-1151,Training and Development Specialists,detailed,"53,570"
79253,MO,16020,"Cape Girardeau, MO-IL",13-1161,Market Research Analysts and Marketing Specialists,detailed,"59,310"
