,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
82399,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",00-0000,All Occupations,total,"41,190"
82400,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-0000,Management Occupations,major,"84,360"
82401,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-1011,Chief Executives,detailed,"116,570"
82402,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-1021,General and Operations Managers,detailed,"83,240"
82403,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-1031,Legislators,detailed,"25,450"
82404,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-2011,Advertising and Promotions Managers,detailed,"67,960"
82405,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-2021,Marketing Managers,detailed,"88,700"
82406,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-2022,Sales Managers,detailed,"114,150"
82407,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-2031,Public Relations and Fundraising Managers,detailed,"82,950"
82408,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3011,Administrative Services Managers,detailed,"65,830"
82409,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3021,Computer and Information Systems Managers,detailed,"100,750"
82410,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3031,Financial Managers,detailed,"102,340"
82411,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3051,Industrial Production Managers,detailed,"96,140"
82412,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3061,Purchasing Managers,detailed,"98,110"
82413,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"75,880"
82414,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-3121,Human Resources Managers,detailed,"85,700"
82415,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9021,Construction Managers,detailed,"67,970"
82416,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"43,070"
82417,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"79,450"
82418,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9033,"Education Administrators, Postsecondary",detailed,"59,550"
82419,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9041,Architectural and Engineering Managers,detailed,"120,030"
82420,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9051,Food Service Managers,detailed,"55,000"
82421,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9071,Gaming Managers,detailed,"72,790"
82422,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9081,Lodging Managers,detailed,"44,480"
82423,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9111,Medical and Health Services Managers,detailed,"84,320"
82424,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"46,530"
82425,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9151,Social and Community Service Managers,detailed,"54,670"
82426,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9161,Emergency Management Directors,detailed,"59,430"
82427,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",11-9199,"Managers, All Other",detailed,"111,800"
82428,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-0000,Business and Financial Operations Occupations,major,"61,370"
82429,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"55,290"
82430,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,420"
82431,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"64,950"
82432,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1041,Compliance Officers,detailed,"62,330"
82433,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1051,Cost Estimators,detailed,"57,910"
82434,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1071,Human Resources Specialists,detailed,"58,420"
82435,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1075,Labor Relations Specialists,detailed,"61,650"
82436,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1081,Logisticians,detailed,"75,970"
82437,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1111,Management Analysts,detailed,"75,470"
82438,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1121,"Meeting, Convention, and Event Planners",detailed,"41,530"
82439,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"55,510"
82440,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1151,Training and Development Specialists,detailed,"58,330"
82441,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1161,Market Research Analysts and Marketing Specialists,detailed,"56,550"
82442,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-1199,"Business Operations Specialists, All Other",detailed,"68,440"
82443,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2011,Accountants and Auditors,detailed,"60,620"
82444,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2021,Appraisers and Assessors of Real Estate,detailed,"50,940"
82445,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2041,Credit Analysts,detailed,"50,510"
82446,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2051,Financial Analysts,detailed,"62,800"
82447,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2052,Personal Financial Advisors,detailed,*
82448,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2071,Credit Counselors,detailed,"40,860"
82449,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2072,Loan Officers,detailed,"47,070"
82450,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"47,510"
82451,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",13-2099,"Financial Specialists, All Other",detailed,"58,150"
82452,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-0000,Computer and Mathematical Occupations,major,"69,470"
82453,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1121,Computer Systems Analysts,detailed,"79,220"
82454,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1131,Computer Programmers,detailed,"74,150"
82455,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1132,"Software Developers, Applications",detailed,"83,640"
82456,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1133,"Software Developers, Systems Software",detailed,"82,480"
82457,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1134,Web Developers,detailed,"44,980"
82458,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1141,Database Administrators,detailed,"68,610"
82459,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1142,Network and Computer Systems Administrators,detailed,"66,510"
82460,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1151,Computer User Support Specialists,detailed,"44,210"
82461,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1152,Computer Network Support Specialists,detailed,"45,750"
82462,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1199,"Computer Occupations, All Other",detailed,"81,620"
82463,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-0000,Architecture and Engineering Occupations,major,"80,500"
82464,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-1011,"Architects, Except Landscape and Naval",detailed,"62,870"
82465,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-1022,Surveyors,detailed,"42,670"
82466,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2011,Aerospace Engineers,detailed,"97,490"
82467,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2041,Chemical Engineers,detailed,"92,280"
82468,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2051,Civil Engineers,detailed,"81,920"
82469,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2071,Electrical Engineers,detailed,"95,070"
82470,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2072,"Electronics Engineers, Except Computer",detailed,"87,900"
82471,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2112,Industrial Engineers,detailed,"83,220"
82472,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2121,Marine Engineers and Naval Architects,detailed,"83,860"
82473,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2141,Mechanical Engineers,detailed,"95,390"
82474,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-2199,"Engineers, All Other",detailed,"111,150"
82475,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3011,Architectural and Civil Drafters,detailed,"49,450"
82476,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3013,Mechanical Drafters,detailed,"50,910"
82477,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3022,Civil Engineering Technicians,detailed,"38,300"
82478,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3023,Electrical and Electronics Engineering Technicians,detailed,"60,290"
82479,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3026,Industrial Engineering Technicians,detailed,"60,750"
82480,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"77,980"
82481,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",17-3031,Surveying and Mapping Technicians,detailed,"43,560"
82482,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-0000,"Life, Physical, and Social Science Occupations",major,"71,670"
82483,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-1023,Zoologists and Wildlife Biologists,detailed,"95,230"
82484,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-1029,"Biological Scientists, All Other",detailed,"69,900"
82485,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"71,920"
82486,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"94,030"
82487,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-2099,"Physical Scientists, All Other",detailed,"90,830"
82488,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-3031,"Clinical, Counseling, and School Psychologists",detailed,"52,330"
82489,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-3039,"Psychologists, All Other",detailed,"73,580"
82490,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-3051,Urban and Regional Planners,detailed,"47,450"
82491,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-3099,"Social Scientists and Related Workers, All Other",detailed,"70,420"
82492,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-4031,Chemical Technicians,detailed,"42,550"
82493,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,"52,450"
82494,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",21-0000,Community and Social Service Occupations,major,"42,050"
82495,MS,25060,"Gulfport-Biloxi-Pascagoula, MS",21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,"29,400"
