,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
91035,NE,24260,"Grand Island, NE",00-0000,All Occupations,total,"37,470"
91036,NE,24260,"Grand Island, NE",11-0000,Management Occupations,major,"82,160"
91037,NE,24260,"Grand Island, NE",11-1021,General and Operations Managers,detailed,"87,130"
91038,NE,24260,"Grand Island, NE",11-1031,Legislators,detailed,"18,540"
91039,NE,24260,"Grand Island, NE",11-2022,Sales Managers,detailed,"108,160"
91040,NE,24260,"Grand Island, NE",11-2031,Public Relations and Fundraising Managers,detailed,"112,540"
91041,NE,24260,"Grand Island, NE",11-3031,Financial Managers,detailed,"131,540"
91042,NE,24260,"Grand Island, NE",11-3051,Industrial Production Managers,detailed,"71,950"
91043,NE,24260,"Grand Island, NE",11-9021,Construction Managers,detailed,"65,540"
91044,NE,24260,"Grand Island, NE",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"95,430"
91045,NE,24260,"Grand Island, NE",11-9051,Food Service Managers,detailed,"52,940"
91046,NE,24260,"Grand Island, NE",11-9111,Medical and Health Services Managers,detailed,"84,490"
91047,NE,24260,"Grand Island, NE",13-0000,Business and Financial Operations Occupations,major,"56,980"
91048,NE,24260,"Grand Island, NE",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"45,580"
91049,NE,24260,"Grand Island, NE",13-1041,Compliance Officers,detailed,"59,140"
91050,NE,24260,"Grand Island, NE",13-1051,Cost Estimators,detailed,"45,140"
91051,NE,24260,"Grand Island, NE",13-1071,Human Resources Specialists,detailed,"42,670"
91052,NE,24260,"Grand Island, NE",13-1151,Training and Development Specialists,detailed,"49,850"
91053,NE,24260,"Grand Island, NE",13-1161,Market Research Analysts and Marketing Specialists,detailed,"41,940"
91054,NE,24260,"Grand Island, NE",13-1199,"Business Operations Specialists, All Other",detailed,"61,430"
91055,NE,24260,"Grand Island, NE",13-2011,Accountants and Auditors,detailed,"55,710"
91056,NE,24260,"Grand Island, NE",13-2061,Financial Examiners,detailed,"83,880"
91057,NE,24260,"Grand Island, NE",13-2072,Loan Officers,detailed,"76,290"
91058,NE,24260,"Grand Island, NE",15-0000,Computer and Mathematical Occupations,major,"57,460"
91059,NE,24260,"Grand Island, NE",15-1121,Computer Systems Analysts,detailed,"87,600"
91060,NE,24260,"Grand Island, NE",15-1142,Network and Computer Systems Administrators,detailed,"56,770"
91061,NE,24260,"Grand Island, NE",15-1151,Computer User Support Specialists,detailed,"39,360"
91062,NE,24260,"Grand Island, NE",17-0000,Architecture and Engineering Occupations,major,"58,150"
91063,NE,24260,"Grand Island, NE",17-2112,Industrial Engineers,detailed,"64,150"
91064,NE,24260,"Grand Island, NE",17-2141,Mechanical Engineers,detailed,"66,320"
91065,NE,24260,"Grand Island, NE",19-0000,"Life, Physical, and Social Science Occupations",major,"71,820"
91066,NE,24260,"Grand Island, NE",21-0000,Community and Social Service Occupations,major,"42,160"
91067,NE,24260,"Grand Island, NE",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"58,660"
91068,NE,24260,"Grand Island, NE",21-1014,Mental Health Counselors,detailed,*
91069,NE,24260,"Grand Island, NE",21-1021,"Child, Family, and School Social Workers",detailed,"41,040"
91070,NE,24260,"Grand Island, NE",21-1022,Healthcare Social Workers,detailed,"44,330"
91071,NE,24260,"Grand Island, NE",21-1093,Social and Human Service Assistants,detailed,"24,100"
