,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
92247,NH,73050,"Dover-Durham, NH-ME",00-0000,All Occupations,total,"47,570"
92248,NH,73050,"Dover-Durham, NH-ME",11-0000,Management Occupations,major,"101,720"
92249,NH,73050,"Dover-Durham, NH-ME",11-1011,Chief Executives,detailed,"195,630"
92250,NH,73050,"Dover-Durham, NH-ME",11-1021,General and Operations Managers,detailed,"111,370"
92251,NH,73050,"Dover-Durham, NH-ME",11-2021,Marketing Managers,detailed,"136,680"
92252,NH,73050,"Dover-Durham, NH-ME",11-2022,Sales Managers,detailed,"130,330"
92253,NH,73050,"Dover-Durham, NH-ME",11-3011,Administrative Services Managers,detailed,"93,870"
92254,NH,73050,"Dover-Durham, NH-ME",11-3021,Computer and Information Systems Managers,detailed,"134,230"
92255,NH,73050,"Dover-Durham, NH-ME",11-3031,Financial Managers,detailed,"106,170"
92256,NH,73050,"Dover-Durham, NH-ME",11-3051,Industrial Production Managers,detailed,"91,170"
92257,NH,73050,"Dover-Durham, NH-ME",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"45,430"
92258,NH,73050,"Dover-Durham, NH-ME",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"86,540"
92259,NH,73050,"Dover-Durham, NH-ME",11-9033,"Education Administrators, Postsecondary",detailed,*
92260,NH,73050,"Dover-Durham, NH-ME",11-9041,Architectural and Engineering Managers,detailed,"115,560"
92261,NH,73050,"Dover-Durham, NH-ME",11-9051,Food Service Managers,detailed,"45,860"
92262,NH,73050,"Dover-Durham, NH-ME",11-9081,Lodging Managers,detailed,"66,670"
92263,NH,73050,"Dover-Durham, NH-ME",11-9111,Medical and Health Services Managers,detailed,"96,080"
92264,NH,73050,"Dover-Durham, NH-ME",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"50,130"
92265,NH,73050,"Dover-Durham, NH-ME",11-9151,Social and Community Service Managers,detailed,"51,700"
92266,NH,73050,"Dover-Durham, NH-ME",11-9199,"Managers, All Other",detailed,"101,290"
92267,NH,73050,"Dover-Durham, NH-ME",13-0000,Business and Financial Operations Occupations,major,"72,320"
92268,NH,73050,"Dover-Durham, NH-ME",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,140"
92269,NH,73050,"Dover-Durham, NH-ME",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"69,720"
92270,NH,73050,"Dover-Durham, NH-ME",13-1041,Compliance Officers,detailed,"62,360"
92271,NH,73050,"Dover-Durham, NH-ME",13-1051,Cost Estimators,detailed,"80,890"
92272,NH,73050,"Dover-Durham, NH-ME",13-1071,Human Resources Specialists,detailed,"72,070"
92273,NH,73050,"Dover-Durham, NH-ME",13-1111,Management Analysts,detailed,"95,500"
92274,NH,73050,"Dover-Durham, NH-ME",13-1121,"Meeting, Convention, and Event Planners",detailed,"47,150"
92275,NH,73050,"Dover-Durham, NH-ME",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"46,770"
92276,NH,73050,"Dover-Durham, NH-ME",13-1151,Training and Development Specialists,detailed,"68,450"
92277,NH,73050,"Dover-Durham, NH-ME",13-1161,Market Research Analysts and Marketing Specialists,detailed,"64,760"
92278,NH,73050,"Dover-Durham, NH-ME",13-1199,"Business Operations Specialists, All Other",detailed,"73,450"
92279,NH,73050,"Dover-Durham, NH-ME",13-2011,Accountants and Auditors,detailed,"73,640"
92280,NH,73050,"Dover-Durham, NH-ME",13-2051,Financial Analysts,detailed,"65,520"
92281,NH,73050,"Dover-Durham, NH-ME",13-2072,Loan Officers,detailed,"76,490"
92282,NH,73050,"Dover-Durham, NH-ME",13-2099,"Financial Specialists, All Other",detailed,"77,070"
92283,NH,73050,"Dover-Durham, NH-ME",15-1131,Computer Programmers,detailed,"62,690"
92284,NH,73050,"Dover-Durham, NH-ME",15-1133,"Software Developers, Systems Software",detailed,"105,520"
92285,NH,73050,"Dover-Durham, NH-ME",15-1134,Web Developers,detailed,"78,400"
92286,NH,73050,"Dover-Durham, NH-ME",15-1141,Database Administrators,detailed,"90,940"
92287,NH,73050,"Dover-Durham, NH-ME",15-1142,Network and Computer Systems Administrators,detailed,*
92288,NH,73050,"Dover-Durham, NH-ME",15-1151,Computer User Support Specialists,detailed,"52,370"
92289,NH,73050,"Dover-Durham, NH-ME",15-1199,"Computer Occupations, All Other",detailed,"81,120"
92290,NH,73050,"Dover-Durham, NH-ME",15-2031,Operations Research Analysts,detailed,"84,030"
92291,NH,73050,"Dover-Durham, NH-ME",17-0000,Architecture and Engineering Occupations,major,"68,950"
92292,NH,73050,"Dover-Durham, NH-ME",17-2051,Civil Engineers,detailed,"84,430"
92293,NH,73050,"Dover-Durham, NH-ME",17-2071,Electrical Engineers,detailed,"87,740"
92294,NH,73050,"Dover-Durham, NH-ME",17-2072,"Electronics Engineers, Except Computer",detailed,"81,030"
92295,NH,73050,"Dover-Durham, NH-ME",17-2112,Industrial Engineers,detailed,"65,220"
92296,NH,73050,"Dover-Durham, NH-ME",17-2141,Mechanical Engineers,detailed,"78,960"
92297,NH,73050,"Dover-Durham, NH-ME",17-3023,Electrical and Electronics Engineering Technicians,detailed,"38,180"
92298,NH,73050,"Dover-Durham, NH-ME",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"39,620"
92299,NH,73050,"Dover-Durham, NH-ME",19-0000,"Life, Physical, and Social Science Occupations",major,"83,610"
92300,NH,73050,"Dover-Durham, NH-ME",19-2099,"Physical Scientists, All Other",detailed,"68,240"
92301,NH,73050,"Dover-Durham, NH-ME",19-3031,"Clinical, Counseling, and School Psychologists",detailed,"103,060"
92302,NH,73050,"Dover-Durham, NH-ME",21-0000,Community and Social Service Occupations,major,"44,070"
92303,NH,73050,"Dover-Durham, NH-ME",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"55,760"
92304,NH,73050,"Dover-Durham, NH-ME",21-1014,Mental Health Counselors,detailed,*
92305,NH,73050,"Dover-Durham, NH-ME",21-1015,Rehabilitation Counselors,detailed,"26,340"
92306,NH,73050,"Dover-Durham, NH-ME",21-1021,"Child, Family, and School Social Workers",detailed,"41,310"
92307,NH,73050,"Dover-Durham, NH-ME",21-1022,Healthcare Social Workers,detailed,"50,810"
92308,NH,73050,"Dover-Durham, NH-ME",21-1023,Mental Health and Substance Abuse Social Workers,detailed,*
92309,NH,73050,"Dover-Durham, NH-ME",21-1093,Social and Human Service Assistants,detailed,"31,630"
92310,NH,73050,"Dover-Durham, NH-ME",21-1099,"Community and Social Service Specialists, All Other",detailed,"32,270"
92311,NH,73050,"Dover-Durham, NH-ME",23-0000,Legal Occupations,major,"69,550"
92312,NH,73050,"Dover-Durham, NH-ME",23-1011,Lawyers,detailed,"101,880"
92313,NH,73050,"Dover-Durham, NH-ME",23-2011,Paralegals and Legal Assistants,detailed,"40,350"
92314,NH,73050,"Dover-Durham, NH-ME",25-0000,"Education, Training, and Library Occupations",major,"55,290"
92315,NH,73050,"Dover-Durham, NH-ME",25-2011,"Preschool Teachers, Except Special Education",detailed,"30,640"
92316,NH,73050,"Dover-Durham, NH-ME",25-2012,"Kindergarten Teachers, Except Special Education",detailed,"43,850"
92317,NH,73050,"Dover-Durham, NH-ME",25-2021,"Elementary School Teachers, Except Special Education",detailed,"57,120"
92318,NH,73050,"Dover-Durham, NH-ME",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"53,650"
92319,NH,73050,"Dover-Durham, NH-ME",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"54,200"
92320,NH,73050,"Dover-Durham, NH-ME",25-2032,"Career/Technical Education Teachers, Secondary School",detailed,"54,770"
92321,NH,73050,"Dover-Durham, NH-ME",25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"55,910"
92322,NH,73050,"Dover-Durham, NH-ME",25-2053,"Special Education Teachers, Middle School",detailed,"54,430"
92323,NH,73050,"Dover-Durham, NH-ME",25-2054,"Special Education Teachers, Secondary School",detailed,"50,240"
92324,NH,73050,"Dover-Durham, NH-ME",25-3021,Self-Enrichment Education Teachers,detailed,"48,270"
92325,NH,73050,"Dover-Durham, NH-ME",25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"54,970"
92326,NH,73050,"Dover-Durham, NH-ME",25-3098,Substitute Teachers,detailed,"22,940"
92327,NH,73050,"Dover-Durham, NH-ME",25-4021,Librarians,detailed,"50,000"
92328,NH,73050,"Dover-Durham, NH-ME",25-4031,Library Technicians,detailed,"33,540"
92329,NH,73050,"Dover-Durham, NH-ME",25-9041,Teacher Assistants,detailed,"31,380"
92330,NH,73050,"Dover-Durham, NH-ME",25-9099,"Education, Training, and Library Workers, All Other",detailed,"65,490"
92331,NH,73050,"Dover-Durham, NH-ME",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"46,610"
92332,NH,73050,"Dover-Durham, NH-ME",27-1024,Graphic Designers,detailed,"41,160"
92333,NH,73050,"Dover-Durham, NH-ME",27-2022,Coaches and Scouts,detailed,"58,700"
92334,NH,73050,"Dover-Durham, NH-ME",27-3031,Public Relations Specialists,detailed,"50,570"
92335,NH,73050,"Dover-Durham, NH-ME",27-3041,Editors,detailed,"47,620"
92336,NH,73050,"Dover-Durham, NH-ME",27-3043,Writers and Authors,detailed,"44,610"
92337,NH,73050,"Dover-Durham, NH-ME",29-0000,Healthcare Practitioners and Technical Occupations,major,"88,900"
92338,NH,73050,"Dover-Durham, NH-ME",29-1021,"Dentists, General",detailed,"225,850"
92339,NH,73050,"Dover-Durham, NH-ME",29-1051,Pharmacists,detailed,"133,440"
92340,NH,73050,"Dover-Durham, NH-ME",29-1062,Family and General Practitioners,detailed,"209,210"
