,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
93615,NJ,12100,"Atlantic City-Hammonton, NJ",00-0000,All Occupations,total,"45,860"
93616,NJ,12100,"Atlantic City-Hammonton, NJ",11-0000,Management Occupations,major,"116,060"
93617,NJ,12100,"Atlantic City-Hammonton, NJ",11-1021,General and Operations Managers,detailed,"123,700"
93618,NJ,12100,"Atlantic City-Hammonton, NJ",11-1031,Legislators,detailed,"40,560"
93619,NJ,12100,"Atlantic City-Hammonton, NJ",11-2011,Advertising and Promotions Managers,detailed,"136,600"
93620,NJ,12100,"Atlantic City-Hammonton, NJ",11-2021,Marketing Managers,detailed,"130,070"
93621,NJ,12100,"Atlantic City-Hammonton, NJ",11-2022,Sales Managers,detailed,"128,400"
93622,NJ,12100,"Atlantic City-Hammonton, NJ",11-3011,Administrative Services Managers,detailed,"103,620"
93623,NJ,12100,"Atlantic City-Hammonton, NJ",11-3021,Computer and Information Systems Managers,detailed,"132,490"
93624,NJ,12100,"Atlantic City-Hammonton, NJ",11-3031,Financial Managers,detailed,"123,040"
93625,NJ,12100,"Atlantic City-Hammonton, NJ",11-3061,Purchasing Managers,detailed,"105,570"
93626,NJ,12100,"Atlantic City-Hammonton, NJ",11-3071,"Transportation, Storage, and Distribution Managers",detailed,*
93627,NJ,12100,"Atlantic City-Hammonton, NJ",11-3121,Human Resources Managers,detailed,"108,210"
93628,NJ,12100,"Atlantic City-Hammonton, NJ",11-9021,Construction Managers,detailed,"162,280"
93629,NJ,12100,"Atlantic City-Hammonton, NJ",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"118,200"
93630,NJ,12100,"Atlantic City-Hammonton, NJ",11-9041,Architectural and Engineering Managers,detailed,"135,760"
93631,NJ,12100,"Atlantic City-Hammonton, NJ",11-9051,Food Service Managers,detailed,"80,930"
93632,NJ,12100,"Atlantic City-Hammonton, NJ",11-9071,Gaming Managers,detailed,"82,830"
93633,NJ,12100,"Atlantic City-Hammonton, NJ",11-9111,Medical and Health Services Managers,detailed,"105,500"
93634,NJ,12100,"Atlantic City-Hammonton, NJ",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"91,860"
93635,NJ,12100,"Atlantic City-Hammonton, NJ",11-9151,Social and Community Service Managers,detailed,"83,110"
93636,NJ,12100,"Atlantic City-Hammonton, NJ",11-9199,"Managers, All Other",detailed,"113,300"
93637,NJ,12100,"Atlantic City-Hammonton, NJ",13-0000,Business and Financial Operations Occupations,major,"67,640"
93638,NJ,12100,"Atlantic City-Hammonton, NJ",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"73,000"
93639,NJ,12100,"Atlantic City-Hammonton, NJ",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"67,990"
93640,NJ,12100,"Atlantic City-Hammonton, NJ",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"48,900"
93641,NJ,12100,"Atlantic City-Hammonton, NJ",13-1041,Compliance Officers,detailed,"58,290"
93642,NJ,12100,"Atlantic City-Hammonton, NJ",13-1051,Cost Estimators,detailed,"69,530"
93643,NJ,12100,"Atlantic City-Hammonton, NJ",13-1071,Human Resources Specialists,detailed,"61,030"
93644,NJ,12100,"Atlantic City-Hammonton, NJ",13-1075,Labor Relations Specialists,detailed,*
93645,NJ,12100,"Atlantic City-Hammonton, NJ",13-1081,Logisticians,detailed,"80,890"
93646,NJ,12100,"Atlantic City-Hammonton, NJ",13-1111,Management Analysts,detailed,"79,340"
93647,NJ,12100,"Atlantic City-Hammonton, NJ",13-1121,"Meeting, Convention, and Event Planners",detailed,"39,650"
93648,NJ,12100,"Atlantic City-Hammonton, NJ",13-1131,Fundraisers,detailed,"61,490"
93649,NJ,12100,"Atlantic City-Hammonton, NJ",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"53,370"
93650,NJ,12100,"Atlantic City-Hammonton, NJ",13-1151,Training and Development Specialists,detailed,"77,130"
93651,NJ,12100,"Atlantic City-Hammonton, NJ",13-1161,Market Research Analysts and Marketing Specialists,detailed,"56,540"
93652,NJ,12100,"Atlantic City-Hammonton, NJ",13-1199,"Business Operations Specialists, All Other",detailed,"71,550"
93653,NJ,12100,"Atlantic City-Hammonton, NJ",13-2011,Accountants and Auditors,detailed,"66,730"
93654,NJ,12100,"Atlantic City-Hammonton, NJ",13-2021,Appraisers and Assessors of Real Estate,detailed,"76,030"
93655,NJ,12100,"Atlantic City-Hammonton, NJ",13-2031,Budget Analysts,detailed,"66,990"
93656,NJ,12100,"Atlantic City-Hammonton, NJ",13-2051,Financial Analysts,detailed,"87,960"
93657,NJ,12100,"Atlantic City-Hammonton, NJ",13-2052,Personal Financial Advisors,detailed,"140,730"
93658,NJ,12100,"Atlantic City-Hammonton, NJ",13-2072,Loan Officers,detailed,"79,140"
