,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
96136,NM,10740,"Albuquerque, NM",00-0000,All Occupations,total,"44,440"
96137,NM,10740,"Albuquerque, NM",11-0000,Management Occupations,major,"96,410"
96138,NM,10740,"Albuquerque, NM",11-1021,General and Operations Managers,detailed,"101,070"
96139,NM,10740,"Albuquerque, NM",11-1031,Legislators,detailed,"21,010"
96140,NM,10740,"Albuquerque, NM",11-2011,Advertising and Promotions Managers,detailed,"60,220"
96141,NM,10740,"Albuquerque, NM",11-2021,Marketing Managers,detailed,"82,590"
96142,NM,10740,"Albuquerque, NM",11-2022,Sales Managers,detailed,"100,310"
96143,NM,10740,"Albuquerque, NM",11-2031,Public Relations and Fundraising Managers,detailed,"87,850"
96144,NM,10740,"Albuquerque, NM",11-3011,Administrative Services Managers,detailed,"82,030"
96145,NM,10740,"Albuquerque, NM",11-3021,Computer and Information Systems Managers,detailed,"109,270"
96146,NM,10740,"Albuquerque, NM",11-3031,Financial Managers,detailed,"103,230"
96147,NM,10740,"Albuquerque, NM",11-3051,Industrial Production Managers,detailed,"90,640"
96148,NM,10740,"Albuquerque, NM",11-3061,Purchasing Managers,detailed,"88,520"
96149,NM,10740,"Albuquerque, NM",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"87,680"
96150,NM,10740,"Albuquerque, NM",11-3111,Compensation and Benefits Managers,detailed,"98,210"
96151,NM,10740,"Albuquerque, NM",11-3121,Human Resources Managers,detailed,"91,850"
96152,NM,10740,"Albuquerque, NM",11-3131,Training and Development Managers,detailed,"91,750"
96153,NM,10740,"Albuquerque, NM",11-9021,Construction Managers,detailed,"77,810"
96154,NM,10740,"Albuquerque, NM",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"46,810"
96155,NM,10740,"Albuquerque, NM",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"76,880"
96156,NM,10740,"Albuquerque, NM",11-9033,"Education Administrators, Postsecondary",detailed,"104,820"
96157,NM,10740,"Albuquerque, NM",11-9039,"Education Administrators, All Other",detailed,"76,540"
96158,NM,10740,"Albuquerque, NM",11-9041,Architectural and Engineering Managers,detailed,"140,130"
96159,NM,10740,"Albuquerque, NM",11-9051,Food Service Managers,detailed,"47,760"
96160,NM,10740,"Albuquerque, NM",11-9061,Funeral Service Managers,detailed,"56,420"
96161,NM,10740,"Albuquerque, NM",11-9071,Gaming Managers,detailed,"62,830"
96162,NM,10740,"Albuquerque, NM",11-9111,Medical and Health Services Managers,detailed,"100,380"
96163,NM,10740,"Albuquerque, NM",11-9121,Natural Sciences Managers,detailed,"106,760"
96164,NM,10740,"Albuquerque, NM",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"53,860"
96165,NM,10740,"Albuquerque, NM",11-9151,Social and Community Service Managers,detailed,"60,890"
96166,NM,10740,"Albuquerque, NM",11-9199,"Managers, All Other",detailed,"87,360"
96167,NM,10740,"Albuquerque, NM",13-0000,Business and Financial Operations Occupations,major,"64,480"
96168,NM,10740,"Albuquerque, NM",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"68,740"
