,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
97488,NV,16180,"Carson City, NV",00-0000,All Occupations,total,"46,230"
97489,NV,16180,"Carson City, NV",11-0000,Management Occupations,major,"86,620"
97490,NV,16180,"Carson City, NV",11-1011,Chief Executives,detailed,"153,820"
97491,NV,16180,"Carson City, NV",11-1021,General and Operations Managers,detailed,"91,110"
97492,NV,16180,"Carson City, NV",11-2022,Sales Managers,detailed,"121,920"
97493,NV,16180,"Carson City, NV",11-3011,Administrative Services Managers,detailed,"78,120"
97494,NV,16180,"Carson City, NV",11-3021,Computer and Information Systems Managers,detailed,"88,240"
97495,NV,16180,"Carson City, NV",11-3031,Financial Managers,detailed,"79,800"
97496,NV,16180,"Carson City, NV",11-9021,Construction Managers,detailed,"86,200"
97497,NV,16180,"Carson City, NV",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"88,600"
97498,NV,16180,"Carson City, NV",11-9041,Architectural and Engineering Managers,detailed,"95,830"
97499,NV,16180,"Carson City, NV",11-9111,Medical and Health Services Managers,detailed,"96,980"
97500,NV,16180,"Carson City, NV",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"40,710"
97501,NV,16180,"Carson City, NV",11-9151,Social and Community Service Managers,detailed,"71,650"
97502,NV,16180,"Carson City, NV",11-9199,"Managers, All Other",detailed,"94,130"
97503,NV,16180,"Carson City, NV",13-0000,Business and Financial Operations Occupations,major,"60,380"
97504,NV,16180,"Carson City, NV",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"59,320"
97505,NV,16180,"Carson City, NV",13-1041,Compliance Officers,detailed,"64,960"
97506,NV,16180,"Carson City, NV",13-1051,Cost Estimators,detailed,"45,450"
97507,NV,16180,"Carson City, NV",13-1071,Human Resources Specialists,detailed,"53,250"
97508,NV,16180,"Carson City, NV",13-1111,Management Analysts,detailed,"59,580"
97509,NV,16180,"Carson City, NV",13-1151,Training and Development Specialists,detailed,"63,660"
97510,NV,16180,"Carson City, NV",13-1161,Market Research Analysts and Marketing Specialists,detailed,"47,410"
97511,NV,16180,"Carson City, NV",13-1199,"Business Operations Specialists, All Other",detailed,"63,610"
97512,NV,16180,"Carson City, NV",13-2011,Accountants and Auditors,detailed,"64,800"
97513,NV,16180,"Carson City, NV",13-2031,Budget Analysts,detailed,"65,570"
