,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
98719,NY,10580,"Albany-Schenectady-Troy, NY",00-0000,All Occupations,total,"50,880"
98720,NY,10580,"Albany-Schenectady-Troy, NY",11-0000,Management Occupations,major,"110,290"
98721,NY,10580,"Albany-Schenectady-Troy, NY",11-1011,Chief Executives,detailed,"146,820"
98722,NY,10580,"Albany-Schenectady-Troy, NY",11-1021,General and Operations Managers,detailed,"115,800"
98723,NY,10580,"Albany-Schenectady-Troy, NY",11-1031,Legislators,detailed,"87,950"
98724,NY,10580,"Albany-Schenectady-Troy, NY",11-2011,Advertising and Promotions Managers,detailed,"92,820"
98725,NY,10580,"Albany-Schenectady-Troy, NY",11-2021,Marketing Managers,detailed,"158,390"
98726,NY,10580,"Albany-Schenectady-Troy, NY",11-2022,Sales Managers,detailed,"137,150"
98727,NY,10580,"Albany-Schenectady-Troy, NY",11-2031,Public Relations and Fundraising Managers,detailed,"97,810"
98728,NY,10580,"Albany-Schenectady-Troy, NY",11-3011,Administrative Services Managers,detailed,"96,250"
98729,NY,10580,"Albany-Schenectady-Troy, NY",11-3021,Computer and Information Systems Managers,detailed,"123,560"
98730,NY,10580,"Albany-Schenectady-Troy, NY",11-3031,Financial Managers,detailed,"127,260"
98731,NY,10580,"Albany-Schenectady-Troy, NY",11-3051,Industrial Production Managers,detailed,"147,830"
98732,NY,10580,"Albany-Schenectady-Troy, NY",11-3061,Purchasing Managers,detailed,"94,840"
98733,NY,10580,"Albany-Schenectady-Troy, NY",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"84,210"
98734,NY,10580,"Albany-Schenectady-Troy, NY",11-3111,Compensation and Benefits Managers,detailed,"107,520"
98735,NY,10580,"Albany-Schenectady-Troy, NY",11-3121,Human Resources Managers,detailed,"97,490"
98736,NY,10580,"Albany-Schenectady-Troy, NY",11-3131,Training and Development Managers,detailed,"101,980"
98737,NY,10580,"Albany-Schenectady-Troy, NY",11-9021,Construction Managers,detailed,"79,640"
98738,NY,10580,"Albany-Schenectady-Troy, NY",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"43,790"
98739,NY,10580,"Albany-Schenectady-Troy, NY",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"104,170"
98740,NY,10580,"Albany-Schenectady-Troy, NY",11-9033,"Education Administrators, Postsecondary",detailed,"107,130"
98741,NY,10580,"Albany-Schenectady-Troy, NY",11-9039,"Education Administrators, All Other",detailed,"88,060"
98742,NY,10580,"Albany-Schenectady-Troy, NY",11-9041,Architectural and Engineering Managers,detailed,"147,260"
98743,NY,10580,"Albany-Schenectady-Troy, NY",11-9051,Food Service Managers,detailed,"56,750"
98744,NY,10580,"Albany-Schenectady-Troy, NY",11-9111,Medical and Health Services Managers,detailed,"101,390"
98745,NY,10580,"Albany-Schenectady-Troy, NY",11-9121,Natural Sciences Managers,detailed,"145,150"
98746,NY,10580,"Albany-Schenectady-Troy, NY",11-9131,Postmasters and Mail Superintendents,detailed,"74,320"
98747,NY,10580,"Albany-Schenectady-Troy, NY",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"81,450"
98748,NY,10580,"Albany-Schenectady-Troy, NY",11-9151,Social and Community Service Managers,detailed,"86,020"
98749,NY,10580,"Albany-Schenectady-Troy, NY",11-9161,Emergency Management Directors,detailed,"76,780"
98750,NY,10580,"Albany-Schenectady-Troy, NY",11-9199,"Managers, All Other",detailed,"91,910"
98751,NY,10580,"Albany-Schenectady-Troy, NY",13-0000,Business and Financial Operations Occupations,major,"69,190"
98752,NY,10580,"Albany-Schenectady-Troy, NY",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"46,630"
98753,NY,10580,"Albany-Schenectady-Troy, NY",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"63,870"
98754,NY,10580,"Albany-Schenectady-Troy, NY",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"65,490"
98755,NY,10580,"Albany-Schenectady-Troy, NY",13-1041,Compliance Officers,detailed,"66,690"
98756,NY,10580,"Albany-Schenectady-Troy, NY",13-1051,Cost Estimators,detailed,"64,520"
98757,NY,10580,"Albany-Schenectady-Troy, NY",13-1071,Human Resources Specialists,detailed,"66,260"
98758,NY,10580,"Albany-Schenectady-Troy, NY",13-1075,Labor Relations Specialists,detailed,"74,640"
98759,NY,10580,"Albany-Schenectady-Troy, NY",13-1081,Logisticians,detailed,"66,890"
98760,NY,10580,"Albany-Schenectady-Troy, NY",13-1111,Management Analysts,detailed,"77,210"
98761,NY,10580,"Albany-Schenectady-Troy, NY",13-1121,"Meeting, Convention, and Event Planners",detailed,"50,120"
98762,NY,10580,"Albany-Schenectady-Troy, NY",13-1131,Fundraisers,detailed,"60,470"
98763,NY,10580,"Albany-Schenectady-Troy, NY",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"56,980"
98764,NY,10580,"Albany-Schenectady-Troy, NY",13-1151,Training and Development Specialists,detailed,"65,710"
98765,NY,10580,"Albany-Schenectady-Troy, NY",13-1161,Market Research Analysts and Marketing Specialists,detailed,"68,300"
98766,NY,10580,"Albany-Schenectady-Troy, NY",13-1199,"Business Operations Specialists, All Other",detailed,"72,620"
98767,NY,10580,"Albany-Schenectady-Troy, NY",13-2011,Accountants and Auditors,detailed,"74,570"
98768,NY,10580,"Albany-Schenectady-Troy, NY",13-2021,Appraisers and Assessors of Real Estate,detailed,*
98769,NY,10580,"Albany-Schenectady-Troy, NY",13-2031,Budget Analysts,detailed,"66,340"
98770,NY,10580,"Albany-Schenectady-Troy, NY",13-2041,Credit Analysts,detailed,"75,410"
98771,NY,10580,"Albany-Schenectady-Troy, NY",13-2051,Financial Analysts,detailed,"71,580"
98772,NY,10580,"Albany-Schenectady-Troy, NY",13-2052,Personal Financial Advisors,detailed,"99,080"
98773,NY,10580,"Albany-Schenectady-Troy, NY",13-2053,Insurance Underwriters,detailed,"73,990"
98774,NY,10580,"Albany-Schenectady-Troy, NY",13-2061,Financial Examiners,detailed,"88,880"
98775,NY,10580,"Albany-Schenectady-Troy, NY",13-2071,Credit Counselors,detailed,"49,770"
98776,NY,10580,"Albany-Schenectady-Troy, NY",13-2072,Loan Officers,detailed,"63,040"
98777,NY,10580,"Albany-Schenectady-Troy, NY",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"56,490"
98778,NY,10580,"Albany-Schenectady-Troy, NY",13-2082,Tax Preparers,detailed,"43,530"
98779,NY,10580,"Albany-Schenectady-Troy, NY",13-2099,"Financial Specialists, All Other",detailed,"77,570"
98780,NY,10580,"Albany-Schenectady-Troy, NY",15-0000,Computer and Mathematical Occupations,major,"74,440"
98781,NY,10580,"Albany-Schenectady-Troy, NY",15-1111,Computer and Information Research Scientists,detailed,"118,110"
98782,NY,10580,"Albany-Schenectady-Troy, NY",15-1121,Computer Systems Analysts,detailed,"76,870"
98783,NY,10580,"Albany-Schenectady-Troy, NY",15-1122,Information Security Analysts,detailed,"91,330"
98784,NY,10580,"Albany-Schenectady-Troy, NY",15-1131,Computer Programmers,detailed,"76,210"
98785,NY,10580,"Albany-Schenectady-Troy, NY",15-1132,"Software Developers, Applications",detailed,"81,290"
98786,NY,10580,"Albany-Schenectady-Troy, NY",15-1133,"Software Developers, Systems Software",detailed,"100,280"
98787,NY,10580,"Albany-Schenectady-Troy, NY",15-1134,Web Developers,detailed,"62,860"
98788,NY,10580,"Albany-Schenectady-Troy, NY",15-1141,Database Administrators,detailed,"81,950"
98789,NY,10580,"Albany-Schenectady-Troy, NY",15-1142,Network and Computer Systems Administrators,detailed,"73,900"
