,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
104741,OH,10420,"Akron, OH",00-0000,All Occupations,total,"44,990"
104742,OH,10420,"Akron, OH",11-0000,Management Occupations,major,"107,790"
104743,OH,10420,"Akron, OH",11-1011,Chief Executives,detailed,"215,490"
104744,OH,10420,"Akron, OH",11-1021,General and Operations Managers,detailed,"111,060"
104745,OH,10420,"Akron, OH",11-1031,Legislators,detailed,"28,440"
104746,OH,10420,"Akron, OH",11-2011,Advertising and Promotions Managers,detailed,"63,900"
104747,OH,10420,"Akron, OH",11-2021,Marketing Managers,detailed,"121,250"
104748,OH,10420,"Akron, OH",11-2022,Sales Managers,detailed,"126,600"
104749,OH,10420,"Akron, OH",11-2031,Public Relations and Fundraising Managers,detailed,"101,570"
104750,OH,10420,"Akron, OH",11-3011,Administrative Services Managers,detailed,"88,700"
104751,OH,10420,"Akron, OH",11-3021,Computer and Information Systems Managers,detailed,"127,870"
104752,OH,10420,"Akron, OH",11-3031,Financial Managers,detailed,"116,320"
104753,OH,10420,"Akron, OH",11-3051,Industrial Production Managers,detailed,"94,620"
104754,OH,10420,"Akron, OH",11-3061,Purchasing Managers,detailed,"117,640"
104755,OH,10420,"Akron, OH",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"97,440"
104756,OH,10420,"Akron, OH",11-3111,Compensation and Benefits Managers,detailed,"109,400"
104757,OH,10420,"Akron, OH",11-3121,Human Resources Managers,detailed,"115,900"
104758,OH,10420,"Akron, OH",11-3131,Training and Development Managers,detailed,"89,500"
104759,OH,10420,"Akron, OH",11-9021,Construction Managers,detailed,"86,440"
104760,OH,10420,"Akron, OH",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"41,800"
104761,OH,10420,"Akron, OH",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"87,060"
104762,OH,10420,"Akron, OH",11-9033,"Education Administrators, Postsecondary",detailed,"102,010"
104763,OH,10420,"Akron, OH",11-9039,"Education Administrators, All Other",detailed,"49,770"
104764,OH,10420,"Akron, OH",11-9041,Architectural and Engineering Managers,detailed,"123,610"
104765,OH,10420,"Akron, OH",11-9051,Food Service Managers,detailed,"53,720"
104766,OH,10420,"Akron, OH",11-9061,Funeral Service Managers,detailed,"106,320"
104767,OH,10420,"Akron, OH",11-9081,Lodging Managers,detailed,"46,770"
104768,OH,10420,"Akron, OH",11-9111,Medical and Health Services Managers,detailed,"103,690"
104769,OH,10420,"Akron, OH",11-9121,Natural Sciences Managers,detailed,"110,600"
104770,OH,10420,"Akron, OH",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"68,540"
104771,OH,10420,"Akron, OH",11-9151,Social and Community Service Managers,detailed,"70,120"
104772,OH,10420,"Akron, OH",11-9199,"Managers, All Other",detailed,"121,850"
104773,OH,10420,"Akron, OH",13-0000,Business and Financial Operations Occupations,major,"63,570"
104774,OH,10420,"Akron, OH",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"52,320"
104775,OH,10420,"Akron, OH",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"64,720"
104776,OH,10420,"Akron, OH",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"59,060"
104777,OH,10420,"Akron, OH",13-1041,Compliance Officers,detailed,"60,180"
104778,OH,10420,"Akron, OH",13-1051,Cost Estimators,detailed,"59,750"
104779,OH,10420,"Akron, OH",13-1071,Human Resources Specialists,detailed,"56,900"
104780,OH,10420,"Akron, OH",13-1075,Labor Relations Specialists,detailed,"41,510"
104781,OH,10420,"Akron, OH",13-1081,Logisticians,detailed,"68,280"
104782,OH,10420,"Akron, OH",13-1111,Management Analysts,detailed,"76,320"
104783,OH,10420,"Akron, OH",13-1121,"Meeting, Convention, and Event Planners",detailed,"39,490"
104784,OH,10420,"Akron, OH",13-1131,Fundraisers,detailed,"49,150"
104785,OH,10420,"Akron, OH",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"52,950"
104786,OH,10420,"Akron, OH",13-1151,Training and Development Specialists,detailed,"60,200"
104787,OH,10420,"Akron, OH",13-1161,Market Research Analysts and Marketing Specialists,detailed,"63,050"
104788,OH,10420,"Akron, OH",13-1199,"Business Operations Specialists, All Other",detailed,"62,550"
104789,OH,10420,"Akron, OH",13-2011,Accountants and Auditors,detailed,"68,940"
