,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
109930,OK,30020,"Lawton, OK",00-0000,All Occupations,total,"36,210"
109931,OK,30020,"Lawton, OK",11-0000,Management Occupations,major,"73,770"
109932,OK,30020,"Lawton, OK",11-1011,Chief Executives,detailed,"116,590"
109933,OK,30020,"Lawton, OK",11-1021,General and Operations Managers,detailed,"75,820"
109934,OK,30020,"Lawton, OK",11-2022,Sales Managers,detailed,"82,730"
109935,OK,30020,"Lawton, OK",11-3011,Administrative Services Managers,detailed,"62,360"
109936,OK,30020,"Lawton, OK",11-3021,Computer and Information Systems Managers,detailed,"101,890"
109937,OK,30020,"Lawton, OK",11-3031,Financial Managers,detailed,"64,520"
109938,OK,30020,"Lawton, OK",11-3051,Industrial Production Managers,detailed,"72,120"
109939,OK,30020,"Lawton, OK",11-3121,Human Resources Managers,detailed,"77,630"
109940,OK,30020,"Lawton, OK",11-9021,Construction Managers,detailed,"69,950"
109941,OK,30020,"Lawton, OK",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"71,420"
109942,OK,30020,"Lawton, OK",11-9033,"Education Administrators, Postsecondary",detailed,"66,850"
109943,OK,30020,"Lawton, OK",11-9051,Food Service Managers,detailed,"42,690"
109944,OK,30020,"Lawton, OK",11-9111,Medical and Health Services Managers,detailed,"81,310"
109945,OK,30020,"Lawton, OK",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"35,870"
109946,OK,30020,"Lawton, OK",11-9151,Social and Community Service Managers,detailed,"53,530"
109947,OK,30020,"Lawton, OK",11-9199,"Managers, All Other",detailed,"84,350"
109948,OK,30020,"Lawton, OK",13-0000,Business and Financial Operations Occupations,major,"60,240"
109949,OK,30020,"Lawton, OK",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,970"
109950,OK,30020,"Lawton, OK",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"61,260"
109951,OK,30020,"Lawton, OK",13-1041,Compliance Officers,detailed,"48,300"
109952,OK,30020,"Lawton, OK",13-1071,Human Resources Specialists,detailed,"55,030"
109953,OK,30020,"Lawton, OK",13-1081,Logisticians,detailed,"75,260"
109954,OK,30020,"Lawton, OK",13-1111,Management Analysts,detailed,"64,440"
109955,OK,30020,"Lawton, OK",13-1151,Training and Development Specialists,detailed,"60,490"
109956,OK,30020,"Lawton, OK",13-1161,Market Research Analysts and Marketing Specialists,detailed,"41,830"
109957,OK,30020,"Lawton, OK",13-1199,"Business Operations Specialists, All Other",detailed,"69,820"
