,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
121581,PR,10380,"Aguadilla-Isabela, PR",00-0000,All Occupations,total,"25,890"
121582,PR,10380,"Aguadilla-Isabela, PR",11-0000,Management Occupations,major,"58,140"
121583,PR,10380,"Aguadilla-Isabela, PR",11-1011,Chief Executives,detailed,"93,310"
121584,PR,10380,"Aguadilla-Isabela, PR",11-1021,General and Operations Managers,detailed,"57,650"
121585,PR,10380,"Aguadilla-Isabela, PR",11-2022,Sales Managers,detailed,"78,640"
121586,PR,10380,"Aguadilla-Isabela, PR",11-3011,Administrative Services Managers,detailed,"46,250"
121587,PR,10380,"Aguadilla-Isabela, PR",11-3031,Financial Managers,detailed,"58,480"
121588,PR,10380,"Aguadilla-Isabela, PR",11-3051,Industrial Production Managers,detailed,"97,330"
121589,PR,10380,"Aguadilla-Isabela, PR",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"64,520"
121590,PR,10380,"Aguadilla-Isabela, PR",11-3121,Human Resources Managers,detailed,"65,270"
121591,PR,10380,"Aguadilla-Isabela, PR",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"47,980"
121592,PR,10380,"Aguadilla-Isabela, PR",11-9033,"Education Administrators, Postsecondary",detailed,"56,180"
121593,PR,10380,"Aguadilla-Isabela, PR",11-9041,Architectural and Engineering Managers,detailed,"100,950"
121594,PR,10380,"Aguadilla-Isabela, PR",11-9051,Food Service Managers,detailed,"23,360"
121595,PR,10380,"Aguadilla-Isabela, PR",11-9199,"Managers, All Other",detailed,"42,770"
121596,PR,10380,"Aguadilla-Isabela, PR",13-0000,Business and Financial Operations Occupations,major,"41,670"
121597,PR,10380,"Aguadilla-Isabela, PR",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"42,480"
121598,PR,10380,"Aguadilla-Isabela, PR",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"47,670"
121599,PR,10380,"Aguadilla-Isabela, PR",13-1041,Compliance Officers,detailed,"54,210"
121600,PR,10380,"Aguadilla-Isabela, PR",13-1071,Human Resources Specialists,detailed,"30,810"
121601,PR,10380,"Aguadilla-Isabela, PR",13-1081,Logisticians,detailed,"69,370"
121602,PR,10380,"Aguadilla-Isabela, PR",13-1121,"Meeting, Convention, and Event Planners",detailed,"20,010"
121603,PR,10380,"Aguadilla-Isabela, PR",13-1199,"Business Operations Specialists, All Other",detailed,"35,860"
121604,PR,10380,"Aguadilla-Isabela, PR",13-2011,Accountants and Auditors,detailed,"28,130"
121605,PR,10380,"Aguadilla-Isabela, PR",13-2031,Budget Analysts,detailed,"59,190"
121606,PR,10380,"Aguadilla-Isabela, PR",13-2051,Financial Analysts,detailed,"51,530"
121607,PR,10380,"Aguadilla-Isabela, PR",13-2072,Loan Officers,detailed,"33,320"
121608,PR,10380,"Aguadilla-Isabela, PR",15-0000,Computer and Mathematical Occupations,major,"38,280"
121609,PR,10380,"Aguadilla-Isabela, PR",15-1131,Computer Programmers,detailed,"35,240"
121610,PR,10380,"Aguadilla-Isabela, PR",15-1151,Computer User Support Specialists,detailed,"40,750"
121611,PR,10380,"Aguadilla-Isabela, PR",17-0000,Architecture and Engineering Occupations,major,"56,080"
121612,PR,10380,"Aguadilla-Isabela, PR",17-2051,Civil Engineers,detailed,"51,150"
121613,PR,10380,"Aguadilla-Isabela, PR",17-2112,Industrial Engineers,detailed,"79,770"
