,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
123079,RI,77200,"Providence-Warwick, RI-MA",00-0000,All Occupations,total,"49,890"
123080,RI,77200,"Providence-Warwick, RI-MA",11-0000,Management Occupations,major,"119,560"
123081,RI,77200,"Providence-Warwick, RI-MA",11-1011,Chief Executives,detailed,"202,680"
123082,RI,77200,"Providence-Warwick, RI-MA",11-1021,General and Operations Managers,detailed,"130,660"
123083,RI,77200,"Providence-Warwick, RI-MA",11-1031,Legislators,detailed,"34,000"
123084,RI,77200,"Providence-Warwick, RI-MA",11-2011,Advertising and Promotions Managers,detailed,"83,620"
123085,RI,77200,"Providence-Warwick, RI-MA",11-2021,Marketing Managers,detailed,"132,360"
123086,RI,77200,"Providence-Warwick, RI-MA",11-2022,Sales Managers,detailed,"130,100"
123087,RI,77200,"Providence-Warwick, RI-MA",11-2031,Public Relations and Fundraising Managers,detailed,"135,990"
123088,RI,77200,"Providence-Warwick, RI-MA",11-3011,Administrative Services Managers,detailed,"96,770"
123089,RI,77200,"Providence-Warwick, RI-MA",11-3021,Computer and Information Systems Managers,detailed,"136,710"
123090,RI,77200,"Providence-Warwick, RI-MA",11-3031,Financial Managers,detailed,"133,940"
123091,RI,77200,"Providence-Warwick, RI-MA",11-3051,Industrial Production Managers,detailed,"107,410"
123092,RI,77200,"Providence-Warwick, RI-MA",11-3061,Purchasing Managers,detailed,"124,740"
123093,RI,77200,"Providence-Warwick, RI-MA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"99,180"
123094,RI,77200,"Providence-Warwick, RI-MA",11-3111,Compensation and Benefits Managers,detailed,"143,610"
123095,RI,77200,"Providence-Warwick, RI-MA",11-3121,Human Resources Managers,detailed,"129,210"
123096,RI,77200,"Providence-Warwick, RI-MA",11-3131,Training and Development Managers,detailed,"118,870"
123097,RI,77200,"Providence-Warwick, RI-MA",11-9021,Construction Managers,detailed,"107,590"
123098,RI,77200,"Providence-Warwick, RI-MA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"60,790"
123099,RI,77200,"Providence-Warwick, RI-MA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"101,080"
