,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
127358,TN,16860,"Chattanooga, TN-GA",00-0000,All Occupations,total,"40,870"
127359,TN,16860,"Chattanooga, TN-GA",11-0000,Management Occupations,major,"91,710"
127360,TN,16860,"Chattanooga, TN-GA",11-1011,Chief Executives,detailed,"176,800"
127361,TN,16860,"Chattanooga, TN-GA",11-1021,General and Operations Managers,detailed,"98,900"
127362,TN,16860,"Chattanooga, TN-GA",11-1031,Legislators,detailed,*
127363,TN,16860,"Chattanooga, TN-GA",11-2011,Advertising and Promotions Managers,detailed,"90,300"
127364,TN,16860,"Chattanooga, TN-GA",11-2021,Marketing Managers,detailed,"89,570"
127365,TN,16860,"Chattanooga, TN-GA",11-2022,Sales Managers,detailed,"95,160"
127366,TN,16860,"Chattanooga, TN-GA",11-2031,Public Relations and Fundraising Managers,detailed,"79,210"
127367,TN,16860,"Chattanooga, TN-GA",11-3011,Administrative Services Managers,detailed,"75,480"
127368,TN,16860,"Chattanooga, TN-GA",11-3021,Computer and Information Systems Managers,detailed,"104,740"
127369,TN,16860,"Chattanooga, TN-GA",11-3031,Financial Managers,detailed,"111,040"
127370,TN,16860,"Chattanooga, TN-GA",11-3051,Industrial Production Managers,detailed,"86,470"
127371,TN,16860,"Chattanooga, TN-GA",11-3061,Purchasing Managers,detailed,"83,740"
127372,TN,16860,"Chattanooga, TN-GA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"86,470"
127373,TN,16860,"Chattanooga, TN-GA",11-3111,Compensation and Benefits Managers,detailed,"80,100"
127374,TN,16860,"Chattanooga, TN-GA",11-3121,Human Resources Managers,detailed,"79,120"
127375,TN,16860,"Chattanooga, TN-GA",11-3131,Training and Development Managers,detailed,"89,180"
127376,TN,16860,"Chattanooga, TN-GA",11-9021,Construction Managers,detailed,"92,120"
127377,TN,16860,"Chattanooga, TN-GA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"43,560"
127378,TN,16860,"Chattanooga, TN-GA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"82,000"
127379,TN,16860,"Chattanooga, TN-GA",11-9033,"Education Administrators, Postsecondary",detailed,"83,220"
127380,TN,16860,"Chattanooga, TN-GA",11-9039,"Education Administrators, All Other",detailed,"58,860"
127381,TN,16860,"Chattanooga, TN-GA",11-9041,Architectural and Engineering Managers,detailed,"125,830"
127382,TN,16860,"Chattanooga, TN-GA",11-9081,Lodging Managers,detailed,"46,660"
127383,TN,16860,"Chattanooga, TN-GA",11-9111,Medical and Health Services Managers,detailed,"94,570"
127384,TN,16860,"Chattanooga, TN-GA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"58,870"
127385,TN,16860,"Chattanooga, TN-GA",11-9151,Social and Community Service Managers,detailed,"58,590"
127386,TN,16860,"Chattanooga, TN-GA",11-9199,"Managers, All Other",detailed,"90,500"
127387,TN,16860,"Chattanooga, TN-GA",13-0000,Business and Financial Operations Occupations,major,"63,050"
127388,TN,16860,"Chattanooga, TN-GA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"50,110"
127389,TN,16860,"Chattanooga, TN-GA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,290"
127390,TN,16860,"Chattanooga, TN-GA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"50,100"
127391,TN,16860,"Chattanooga, TN-GA",13-1041,Compliance Officers,detailed,"61,580"
127392,TN,16860,"Chattanooga, TN-GA",13-1051,Cost Estimators,detailed,"62,570"
127393,TN,16860,"Chattanooga, TN-GA",13-1071,Human Resources Specialists,detailed,"52,250"
127394,TN,16860,"Chattanooga, TN-GA",13-1075,Labor Relations Specialists,detailed,"53,060"
127395,TN,16860,"Chattanooga, TN-GA",13-1081,Logisticians,detailed,"79,900"
127396,TN,16860,"Chattanooga, TN-GA",13-1111,Management Analysts,detailed,"74,610"
127397,TN,16860,"Chattanooga, TN-GA",13-1121,"Meeting, Convention, and Event Planners",detailed,"40,370"
127398,TN,16860,"Chattanooga, TN-GA",13-1131,Fundraisers,detailed,"42,280"
127399,TN,16860,"Chattanooga, TN-GA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"54,600"
127400,TN,16860,"Chattanooga, TN-GA",13-1151,Training and Development Specialists,detailed,"68,290"
127401,TN,16860,"Chattanooga, TN-GA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"57,540"
127402,TN,16860,"Chattanooga, TN-GA",13-1199,"Business Operations Specialists, All Other",detailed,"62,620"
127403,TN,16860,"Chattanooga, TN-GA",13-2011,Accountants and Auditors,detailed,"64,800"
127404,TN,16860,"Chattanooga, TN-GA",13-2021,Appraisers and Assessors of Real Estate,detailed,"52,920"
127405,TN,16860,"Chattanooga, TN-GA",13-2031,Budget Analysts,detailed,"73,170"
127406,TN,16860,"Chattanooga, TN-GA",13-2041,Credit Analysts,detailed,"70,090"
127407,TN,16860,"Chattanooga, TN-GA",13-2051,Financial Analysts,detailed,"87,850"
127408,TN,16860,"Chattanooga, TN-GA",13-2052,Personal Financial Advisors,detailed,"84,520"
127409,TN,16860,"Chattanooga, TN-GA",13-2053,Insurance Underwriters,detailed,"65,980"
127410,TN,16860,"Chattanooga, TN-GA",13-2061,Financial Examiners,detailed,"82,200"
127411,TN,16860,"Chattanooga, TN-GA",13-2072,Loan Officers,detailed,"76,560"
127412,TN,16860,"Chattanooga, TN-GA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"60,110"
127413,TN,16860,"Chattanooga, TN-GA",13-2082,Tax Preparers,detailed,"41,430"
127414,TN,16860,"Chattanooga, TN-GA",13-2099,"Financial Specialists, All Other",detailed,"66,850"
127415,TN,16860,"Chattanooga, TN-GA",15-0000,Computer and Mathematical Occupations,major,"72,060"
127416,TN,16860,"Chattanooga, TN-GA",15-1121,Computer Systems Analysts,detailed,"84,350"
127417,TN,16860,"Chattanooga, TN-GA",15-1122,Information Security Analysts,detailed,"89,710"
127418,TN,16860,"Chattanooga, TN-GA",15-1131,Computer Programmers,detailed,"76,290"
