,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
131329,TX,10180,"Abilene, TX",00-0000,All Occupations,total,"38,900"
131330,TX,10180,"Abilene, TX",11-0000,Management Occupations,major,"97,700"
131331,TX,10180,"Abilene, TX",11-1021,General and Operations Managers,detailed,"113,040"
131332,TX,10180,"Abilene, TX",11-2022,Sales Managers,detailed,"128,140"
131333,TX,10180,"Abilene, TX",11-3011,Administrative Services Managers,detailed,"68,480"
131334,TX,10180,"Abilene, TX",11-3021,Computer and Information Systems Managers,detailed,"94,990"
131335,TX,10180,"Abilene, TX",11-3031,Financial Managers,detailed,"124,920"
131336,TX,10180,"Abilene, TX",11-3051,Industrial Production Managers,detailed,"75,250"
131337,TX,10180,"Abilene, TX",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"93,300"
131338,TX,10180,"Abilene, TX",11-9021,Construction Managers,detailed,"83,030"
131339,TX,10180,"Abilene, TX",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"73,510"
131340,TX,10180,"Abilene, TX",11-9033,"Education Administrators, Postsecondary",detailed,"74,330"
131341,TX,10180,"Abilene, TX",11-9051,Food Service Managers,detailed,"53,000"
131342,TX,10180,"Abilene, TX",11-9081,Lodging Managers,detailed,"51,950"
131343,TX,10180,"Abilene, TX",11-9111,Medical and Health Services Managers,detailed,"84,410"
131344,TX,10180,"Abilene, TX",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"37,670"
131345,TX,10180,"Abilene, TX",11-9199,"Managers, All Other",detailed,"99,140"
131346,TX,10180,"Abilene, TX",13-0000,Business and Financial Operations Occupations,major,"62,780"
131347,TX,10180,"Abilene, TX",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,930"
131348,TX,10180,"Abilene, TX",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"56,690"
131349,TX,10180,"Abilene, TX",13-1041,Compliance Officers,detailed,"49,970"
131350,TX,10180,"Abilene, TX",13-1051,Cost Estimators,detailed,"52,080"
131351,TX,10180,"Abilene, TX",13-1071,Human Resources Specialists,detailed,"47,010"
131352,TX,10180,"Abilene, TX",13-1111,Management Analysts,detailed,"65,170"
131353,TX,10180,"Abilene, TX",13-1131,Fundraisers,detailed,"57,190"
131354,TX,10180,"Abilene, TX",13-1151,Training and Development Specialists,detailed,"60,940"
