,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
147614,WA,13380,"Bellingham, WA",00-0000,All Occupations,total,"46,120"
147615,WA,13380,"Bellingham, WA",11-0000,Management Occupations,major,"99,770"
147616,WA,13380,"Bellingham, WA",11-1011,Chief Executives,detailed,"145,450"
147617,WA,13380,"Bellingham, WA",11-1021,General and Operations Managers,detailed,"95,680"
147618,WA,13380,"Bellingham, WA",11-1031,Legislators,detailed,*
147619,WA,13380,"Bellingham, WA",11-2021,Marketing Managers,detailed,"124,010"
147620,WA,13380,"Bellingham, WA",11-2022,Sales Managers,detailed,"98,520"
147621,WA,13380,"Bellingham, WA",11-2031,Public Relations and Fundraising Managers,detailed,"93,530"
147622,WA,13380,"Bellingham, WA",11-3011,Administrative Services Managers,detailed,"80,250"
147623,WA,13380,"Bellingham, WA",11-3021,Computer and Information Systems Managers,detailed,"124,800"
147624,WA,13380,"Bellingham, WA",11-3031,Financial Managers,detailed,"125,690"
147625,WA,13380,"Bellingham, WA",11-3051,Industrial Production Managers,detailed,"74,170"
147626,WA,13380,"Bellingham, WA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"84,790"
147627,WA,13380,"Bellingham, WA",11-3121,Human Resources Managers,detailed,"82,830"
147628,WA,13380,"Bellingham, WA",11-9021,Construction Managers,detailed,"96,310"
147629,WA,13380,"Bellingham, WA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"102,480"
147630,WA,13380,"Bellingham, WA",11-9033,"Education Administrators, Postsecondary",detailed,"96,420"
147631,WA,13380,"Bellingham, WA",11-9041,Architectural and Engineering Managers,detailed,"124,560"
147632,WA,13380,"Bellingham, WA",11-9051,Food Service Managers,detailed,"53,480"
147633,WA,13380,"Bellingham, WA",11-9111,Medical and Health Services Managers,detailed,*
147634,WA,13380,"Bellingham, WA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"66,660"
147635,WA,13380,"Bellingham, WA",11-9151,Social and Community Service Managers,detailed,"56,590"
147636,WA,13380,"Bellingham, WA",11-9199,"Managers, All Other",detailed,"100,870"
147637,WA,13380,"Bellingham, WA",13-0000,Business and Financial Operations Occupations,major,"64,810"
147638,WA,13380,"Bellingham, WA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"56,730"
147639,WA,13380,"Bellingham, WA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"50,400"
147640,WA,13380,"Bellingham, WA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"66,370"
147641,WA,13380,"Bellingham, WA",13-1041,Compliance Officers,detailed,"74,580"
147642,WA,13380,"Bellingham, WA",13-1051,Cost Estimators,detailed,"72,010"
147643,WA,13380,"Bellingham, WA",13-1071,Human Resources Specialists,detailed,"53,980"
147644,WA,13380,"Bellingham, WA",13-1075,Labor Relations Specialists,detailed,"85,670"
147645,WA,13380,"Bellingham, WA",13-1081,Logisticians,detailed,"94,130"
147646,WA,13380,"Bellingham, WA",13-1111,Management Analysts,detailed,"113,890"
147647,WA,13380,"Bellingham, WA",13-1121,"Meeting, Convention, and Event Planners",detailed,"36,970"
147648,WA,13380,"Bellingham, WA",13-1131,Fundraisers,detailed,"48,330"
147649,WA,13380,"Bellingham, WA",13-1151,Training and Development Specialists,detailed,"50,000"
147650,WA,13380,"Bellingham, WA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"49,720"
147651,WA,13380,"Bellingham, WA",13-1199,"Business Operations Specialists, All Other",detailed,"59,390"
147652,WA,13380,"Bellingham, WA",13-2011,Accountants and Auditors,detailed,"65,040"
147653,WA,13380,"Bellingham, WA",13-2051,Financial Analysts,detailed,"89,600"
147654,WA,13380,"Bellingham, WA",13-2052,Personal Financial Advisors,detailed,"106,540"
147655,WA,13380,"Bellingham, WA",13-2072,Loan Officers,detailed,"60,520"
147656,WA,13380,"Bellingham, WA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"61,720"
147657,WA,13380,"Bellingham, WA",13-2082,Tax Preparers,detailed,"31,110"
147658,WA,13380,"Bellingham, WA",13-2099,"Financial Specialists, All Other",detailed,"48,230"
147659,WA,13380,"Bellingham, WA",15-0000,Computer and Mathematical Occupations,major,"69,250"
147660,WA,13380,"Bellingham, WA",15-1121,Computer Systems Analysts,detailed,"77,680"
147661,WA,13380,"Bellingham, WA",15-1131,Computer Programmers,detailed,"98,150"
147662,WA,13380,"Bellingham, WA",15-1132,"Software Developers, Applications",detailed,"73,200"
147663,WA,13380,"Bellingham, WA",15-1133,"Software Developers, Systems Software",detailed,"94,320"
147664,WA,13380,"Bellingham, WA",15-1134,Web Developers,detailed,"62,550"
147665,WA,13380,"Bellingham, WA",15-1142,Network and Computer Systems Administrators,detailed,"71,340"
147666,WA,13380,"Bellingham, WA",15-1151,Computer User Support Specialists,detailed,"44,840"
147667,WA,13380,"Bellingham, WA",15-1152,Computer Network Support Specialists,detailed,"54,460"
147668,WA,13380,"Bellingham, WA",15-1199,"Computer Occupations, All Other",detailed,"54,120"
147669,WA,13380,"Bellingham, WA",17-0000,Architecture and Engineering Occupations,major,"80,070"
147670,WA,13380,"Bellingham, WA",17-2051,Civil Engineers,detailed,"86,610"
147671,WA,13380,"Bellingham, WA",17-2071,Electrical Engineers,detailed,"101,170"
147672,WA,13380,"Bellingham, WA",17-2112,Industrial Engineers,detailed,"75,910"
147673,WA,13380,"Bellingham, WA",17-2141,Mechanical Engineers,detailed,"77,250"
147674,WA,13380,"Bellingham, WA",17-3011,Architectural and Civil Drafters,detailed,"53,620"
