,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
151857,WI,11540,"Appleton, WI",00-0000,All Occupations,total,"42,760"
151858,WI,11540,"Appleton, WI",11-0000,Management Occupations,major,"92,710"
151859,WI,11540,"Appleton, WI",11-1011,Chief Executives,detailed,"140,600"
151860,WI,11540,"Appleton, WI",11-1021,General and Operations Managers,detailed,"99,700"
151861,WI,11540,"Appleton, WI",11-1031,Legislators,detailed,"24,310"
151862,WI,11540,"Appleton, WI",11-2021,Marketing Managers,detailed,"115,070"
151863,WI,11540,"Appleton, WI",11-2022,Sales Managers,detailed,"104,720"
151864,WI,11540,"Appleton, WI",11-3011,Administrative Services Managers,detailed,"85,430"
151865,WI,11540,"Appleton, WI",11-3021,Computer and Information Systems Managers,detailed,"106,820"
151866,WI,11540,"Appleton, WI",11-3031,Financial Managers,detailed,"100,620"
151867,WI,11540,"Appleton, WI",11-3051,Industrial Production Managers,detailed,"108,300"
151868,WI,11540,"Appleton, WI",11-3061,Purchasing Managers,detailed,"89,750"
151869,WI,11540,"Appleton, WI",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"84,140"
151870,WI,11540,"Appleton, WI",11-3121,Human Resources Managers,detailed,"101,880"
151871,WI,11540,"Appleton, WI",11-9021,Construction Managers,detailed,"118,410"
151872,WI,11540,"Appleton, WI",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"51,940"
151873,WI,11540,"Appleton, WI",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"96,370"
151874,WI,11540,"Appleton, WI",11-9041,Architectural and Engineering Managers,detailed,"112,180"
151875,WI,11540,"Appleton, WI",11-9051,Food Service Managers,detailed,"35,950"
151876,WI,11540,"Appleton, WI",11-9111,Medical and Health Services Managers,detailed,"77,080"
151877,WI,11540,"Appleton, WI",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"53,400"
151878,WI,11540,"Appleton, WI",11-9151,Social and Community Service Managers,detailed,"59,020"
151879,WI,11540,"Appleton, WI",11-9199,"Managers, All Other",detailed,"69,240"
151880,WI,11540,"Appleton, WI",13-0000,Business and Financial Operations Occupations,major,"60,360"
151881,WI,11540,"Appleton, WI",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"41,330"
151882,WI,11540,"Appleton, WI",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"54,200"
151883,WI,11540,"Appleton, WI",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"65,280"
151884,WI,11540,"Appleton, WI",13-1041,Compliance Officers,detailed,"69,160"
151885,WI,11540,"Appleton, WI",13-1051,Cost Estimators,detailed,"56,840"
151886,WI,11540,"Appleton, WI",13-1071,Human Resources Specialists,detailed,"54,100"
151887,WI,11540,"Appleton, WI",13-1075,Labor Relations Specialists,detailed,"25,710"
151888,WI,11540,"Appleton, WI",13-1081,Logisticians,detailed,"63,650"
151889,WI,11540,"Appleton, WI",13-1111,Management Analysts,detailed,"79,560"
151890,WI,11540,"Appleton, WI",13-1121,"Meeting, Convention, and Event Planners",detailed,"38,400"
151891,WI,11540,"Appleton, WI",13-1131,Fundraisers,detailed,"44,530"
151892,WI,11540,"Appleton, WI",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"44,370"
151893,WI,11540,"Appleton, WI",13-1151,Training and Development Specialists,detailed,"54,260"
151894,WI,11540,"Appleton, WI",13-1161,Market Research Analysts and Marketing Specialists,detailed,"45,720"
151895,WI,11540,"Appleton, WI",13-1199,"Business Operations Specialists, All Other",detailed,"66,960"
151896,WI,11540,"Appleton, WI",13-2011,Accountants and Auditors,detailed,"67,950"
151897,WI,11540,"Appleton, WI",13-2021,Appraisers and Assessors of Real Estate,detailed,"51,860"
151898,WI,11540,"Appleton, WI",13-2041,Credit Analysts,detailed,"53,780"
151899,WI,11540,"Appleton, WI",13-2051,Financial Analysts,detailed,"64,100"
151900,WI,11540,"Appleton, WI",13-2052,Personal Financial Advisors,detailed,"90,550"
151901,WI,11540,"Appleton, WI",13-2053,Insurance Underwriters,detailed,"66,790"
151902,WI,11540,"Appleton, WI",13-2072,Loan Officers,detailed,"67,340"
151903,WI,11540,"Appleton, WI",13-2099,"Financial Specialists, All Other",detailed,"48,950"
151904,WI,11540,"Appleton, WI",15-0000,Computer and Mathematical Occupations,major,"69,040"
151905,WI,11540,"Appleton, WI",15-1121,Computer Systems Analysts,detailed,"69,770"
151906,WI,11540,"Appleton, WI",15-1131,Computer Programmers,detailed,"72,590"
151907,WI,11540,"Appleton, WI",15-1132,"Software Developers, Applications",detailed,"81,370"
151908,WI,11540,"Appleton, WI",15-1133,"Software Developers, Systems Software",detailed,"86,780"
151909,WI,11540,"Appleton, WI",15-1134,Web Developers,detailed,"52,030"
151910,WI,11540,"Appleton, WI",15-1141,Database Administrators,detailed,"71,640"
151911,WI,11540,"Appleton, WI",15-1142,Network and Computer Systems Administrators,detailed,"64,540"
151912,WI,11540,"Appleton, WI",15-1143,Computer Network Architects,detailed,"72,430"
151913,WI,11540,"Appleton, WI",15-1151,Computer User Support Specialists,detailed,"49,900"
151914,WI,11540,"Appleton, WI",15-1152,Computer Network Support Specialists,detailed,"55,490"
151915,WI,11540,"Appleton, WI",15-1199,"Computer Occupations, All Other",detailed,"59,230"
151916,WI,11540,"Appleton, WI",15-2031,Operations Research Analysts,detailed,"80,040"
151917,WI,11540,"Appleton, WI",17-0000,Architecture and Engineering Occupations,major,"68,740"
151918,WI,11540,"Appleton, WI",17-1022,Surveyors,detailed,"62,260"
151919,WI,11540,"Appleton, WI",17-2051,Civil Engineers,detailed,"83,420"
151920,WI,11540,"Appleton, WI",17-2071,Electrical Engineers,detailed,"74,560"
151921,WI,11540,"Appleton, WI",17-2072,"Electronics Engineers, Except Computer",detailed,"75,270"
151922,WI,11540,"Appleton, WI",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"60,250"
151923,WI,11540,"Appleton, WI",17-2112,Industrial Engineers,detailed,"81,230"
151924,WI,11540,"Appleton, WI",17-2131,Materials Engineers,detailed,"74,720"
151925,WI,11540,"Appleton, WI",17-2141,Mechanical Engineers,detailed,"72,090"
151926,WI,11540,"Appleton, WI",17-2199,"Engineers, All Other",detailed,"78,310"
151927,WI,11540,"Appleton, WI",17-3011,Architectural and Civil Drafters,detailed,"57,410"
151928,WI,11540,"Appleton, WI",17-3012,Electrical and Electronics Drafters,detailed,"61,960"
151929,WI,11540,"Appleton, WI",17-3013,Mechanical Drafters,detailed,"55,970"
151930,WI,11540,"Appleton, WI",17-3023,Electrical and Electronics Engineering Technicians,detailed,"50,580"
151931,WI,11540,"Appleton, WI",17-3026,Industrial Engineering Technicians,detailed,"49,310"
151932,WI,11540,"Appleton, WI",17-3027,Mechanical Engineering Technicians,detailed,"51,110"
151933,WI,11540,"Appleton, WI",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"55,650"
